Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:08:29.466000,GAS,10,0 days 00:01:32.663000,1.0,,,,,0 days 00:00:39.286000,0 days 00:00:27.375000,,0 days 00:08:02.112000,0 days 00:08:29.565000,198.0,237.0,259.0,322.0,False,nan,,True,Toro Rosso,0 days 00:06:56.587000,2018-07-22 13:13:03.619,1,18.0,False,,False,False
0 days 00:09:52.631000,GAS,10,0 days 00:01:23.165000,2.0,1.0,,,0 days 00:00:18.128000,0 days 00:00:39.028000,0 days 00:00:26.009000,0 days 00:08:47.554000,0 days 00:09:26.582000,0 days 00:09:52.591000,208.0,243.0,257.0,326.0,True,SOFT,1.0,True,Toro Rosso,0 days 00:08:29.466000,2018-07-22 13:14:36.498,1,18.0,False,,False,True
0 days 00:11:16.051000,GAS,10,0 days 00:01:23.420000,3.0,1.0,,,0 days 00:00:18.782000,0 days 00:00:39.116000,0 days 00:00:25.522000,0 days 00:10:11.373000,0 days 00:10:50.489000,0 days 00:11:16.011000,203.0,248.0,259.0,333.0,False,SOFT,2.0,True,Toro Rosso,0 days 00:09:52.631000,2018-07-22 13:15:59.663,1,20.0,False,,False,True
0 days 00:12:37.063000,GAS,10,0 days 00:01:21.012000,4.0,1.0,,,0 days 00:00:17.823000,0 days 00:00:37.829000,0 days 00:00:25.360000,0 days 00:11:33.834000,0 days 00:12:11.663000,0 days 00:12:37.023000,200.0,251.0,261.0,324.0,True,SOFT,3.0,True,Toro Rosso,0 days 00:11:16.051000,2018-07-22 13:17:23.083,1,20.0,False,,False,True
0 days 00:13:58.462000,GAS,10,0 days 00:01:21.399000,5.0,1.0,,,0 days 00:00:17.713000,0 days 00:00:37.852000,0 days 00:00:25.834000,0 days 00:12:54.736000,0 days 00:13:32.588000,0 days 00:13:58.422000,201.0,249.0,263.0,326.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:12:37.063000,2018-07-22 13:18:44.095,1,20.0,False,,False,True
0 days 00:15:19.486000,GAS,10,0 days 00:01:21.024000,6.0,1.0,,,0 days 00:00:17.812000,0 days 00:00:37.660000,0 days 00:00:25.552000,0 days 00:14:16.234000,0 days 00:14:53.894000,0 days 00:15:19.446000,207.0,247.0,262.0,331.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:13:58.462000,2018-07-22 13:20:05.494,1,20.0,False,,False,True
0 days 00:16:40.652000,GAS,10,0 days 00:01:21.166000,7.0,1.0,,,0 days 00:00:17.817000,0 days 00:00:37.746000,0 days 00:00:25.603000,0 days 00:15:37.263000,0 days 00:16:15.009000,0 days 00:16:40.612000,208.0,250.0,263.0,326.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:15:19.486000,2018-07-22 13:21:26.518,1,20.0,False,,False,True
0 days 00:18:01.821000,GAS,10,0 days 00:01:21.169000,8.0,1.0,,,0 days 00:00:17.678000,0 days 00:00:37.890000,0 days 00:00:25.601000,0 days 00:16:58.290000,0 days 00:17:36.180000,0 days 00:18:01.781000,206.0,249.0,263.0,334.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:16:40.652000,2018-07-22 13:22:47.684,1,20.0,False,,False,True
0 days 00:19:23.009000,GAS,10,0 days 00:01:21.188000,9.0,1.0,,,0 days 00:00:17.732000,0 days 00:00:37.703000,0 days 00:00:25.753000,0 days 00:18:19.513000,0 days 00:18:57.216000,0 days 00:19:22.969000,207.0,247.0,263.0,329.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:18:01.821000,2018-07-22 13:24:08.853,1,20.0,False,,False,True
0 days 00:20:43.941000,GAS,10,0 days 00:01:20.932000,10.0,1.0,,,0 days 00:00:17.723000,0 days 00:00:37.858000,0 days 00:00:25.351000,0 days 00:19:40.692000,0 days 00:20:18.550000,0 days 00:20:43.901000,202.0,251.0,263.0,311.0,True,SOFT,9.0,True,Toro Rosso,0 days 00:19:23.009000,2018-07-22 13:25:30.041,1,20.0,False,,False,True
0 days 00:22:04.942000,GAS,10,0 days 00:01:21.001000,11.0,1.0,,,0 days 00:00:17.732000,0 days 00:00:38.003000,0 days 00:00:25.266000,0 days 00:21:01.633000,0 days 00:21:39.636000,0 days 00:22:04.902000,208.0,250.0,264.0,331.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:20:43.941000,2018-07-22 13:26:50.973,1,20.0,False,,False,True
0 days 00:23:25.408000,GAS,10,0 days 00:01:20.466000,12.0,1.0,,,0 days 00:00:17.603000,0 days 00:00:37.709000,0 days 00:00:25.154000,0 days 00:22:22.505000,0 days 00:23:00.214000,0 days 00:23:25.368000,,250.0,265.0,312.0,True,SOFT,11.0,True,Toro Rosso,0 days 00:22:04.942000,2018-07-22 13:28:11.974,1,20.0,False,,False,True
0 days 00:24:46.189000,GAS,10,0 days 00:01:20.781000,13.0,1.0,,,0 days 00:00:17.735000,0 days 00:00:37.685000,0 days 00:00:25.361000,0 days 00:23:43.103000,0 days 00:24:20.788000,0 days 00:24:46.149000,205.0,252.0,264.0,328.0,False,SOFT,12.0,True,Toro Rosso,0 days 00:23:25.408000,2018-07-22 13:29:32.440,1,20.0,False,,False,True
0 days 00:26:07.078000,GAS,10,0 days 00:01:20.889000,14.0,1.0,,,0 days 00:00:17.762000,0 days 00:00:37.773000,0 days 00:00:25.354000,0 days 00:25:03.911000,0 days 00:25:41.684000,0 days 00:26:07.038000,206.0,252.0,266.0,329.0,False,SOFT,13.0,True,Toro Rosso,0 days 00:24:46.189000,2018-07-22 13:30:53.221,1,20.0,False,,False,True
0 days 00:27:28.609000,GAS,10,0 days 00:01:21.531000,15.0,1.0,,,0 days 00:00:17.609000,0 days 00:00:38.409000,0 days 00:00:25.513000,0 days 00:26:24.647000,0 days 00:27:03.056000,0 days 00:27:28.569000,208.0,246.0,263.0,332.0,False,SOFT,14.0,True,Toro Rosso,0 days 00:26:07.078000,2018-07-22 13:32:14.110,1,20.0,False,,False,True
0 days 00:28:50.125000,GAS,10,0 days 00:01:21.516000,16.0,1.0,,,0 days 00:00:17.710000,0 days 00:00:38.026000,0 days 00:00:25.780000,0 days 00:27:46.279000,0 days 00:28:24.305000,0 days 00:28:50.085000,209.0,249.0,265.0,330.0,False,SOFT,15.0,True,Toro Rosso,0 days 00:27:28.609000,2018-07-22 13:33:35.641,1,20.0,False,,False,True
0 days 00:30:10.739000,GAS,10,0 days 00:01:20.614000,17.0,1.0,,,0 days 00:00:17.536000,0 days 00:00:38.046000,0 days 00:00:25.032000,0 days 00:29:07.621000,0 days 00:29:45.667000,0 days 00:30:10.699000,207.0,250.0,258.0,334.0,False,SOFT,16.0,True,Toro Rosso,0 days 00:28:50.125000,2018-07-22 13:34:57.157,1,19.0,False,,False,True
0 days 00:31:30.898000,GAS,10,0 days 00:01:20.159000,18.0,1.0,,,0 days 00:00:17.496000,0 days 00:00:37.495000,0 days 00:00:25.168000,0 days 00:30:28.195000,0 days 00:31:05.690000,0 days 00:31:30.858000,205.0,252.0,258.0,308.0,True,SOFT,17.0,True,Toro Rosso,0 days 00:30:10.739000,2018-07-22 13:36:17.771,1,19.0,False,,False,True
0 days 00:32:51.426000,GAS,10,0 days 00:01:20.528000,19.0,1.0,,,0 days 00:00:17.647000,0 days 00:00:37.617000,0 days 00:00:25.264000,0 days 00:31:48.505000,0 days 00:32:26.122000,0 days 00:32:51.386000,207.0,252.0,259.0,309.0,False,SOFT,18.0,True,Toro Rosso,0 days 00:31:30.898000,2018-07-22 13:37:37.930,1,19.0,False,,False,True
0 days 00:34:12.007000,GAS,10,0 days 00:01:20.581000,20.0,1.0,,,0 days 00:00:17.756000,0 days 00:00:37.810000,0 days 00:00:25.015000,0 days 00:33:09.142000,0 days 00:33:46.952000,0 days 00:34:11.967000,208.0,251.0,260.0,306.0,False,SOFT,19.0,True,Toro Rosso,0 days 00:32:51.426000,2018-07-22 13:38:58.458,1,19.0,False,,False,True
0 days 00:35:32.742000,GAS,10,0 days 00:01:20.735000,21.0,1.0,,,0 days 00:00:17.541000,0 days 00:00:38.126000,0 days 00:00:25.068000,0 days 00:34:29.508000,0 days 00:35:07.634000,0 days 00:35:32.702000,209.0,252.0,259.0,312.0,False,SOFT,20.0,True,Toro Rosso,0 days 00:34:12.007000,2018-07-22 13:40:19.039,1,18.0,False,,False,True
0 days 00:36:54.281000,GAS,10,0 days 00:01:21.539000,22.0,1.0,,,0 days 00:00:17.879000,0 days 00:00:38.365000,0 days 00:00:25.295000,0 days 00:35:50.581000,0 days 00:36:28.946000,0 days 00:36:54.241000,202.0,247.0,261.0,316.0,False,SOFT,21.0,True,Toro Rosso,0 days 00:35:32.742000,2018-07-22 13:41:39.774,1,18.0,False,,False,True
0 days 00:38:15.472000,GAS,10,0 days 00:01:21.191000,23.0,1.0,,,0 days 00:00:17.611000,0 days 00:00:38.282000,0 days 00:00:25.298000,0 days 00:37:11.852000,0 days 00:37:50.134000,0 days 00:38:15.432000,206.0,253.0,264.0,318.0,False,SOFT,22.0,True,Toro Rosso,0 days 00:36:54.281000,2018-07-22 13:43:01.313,1,19.0,False,,False,True
0 days 00:39:36.597000,GAS,10,0 days 00:01:21.125000,24.0,1.0,,,0 days 00:00:17.756000,0 days 00:00:37.956000,0 days 00:00:25.413000,0 days 00:38:33.188000,0 days 00:39:11.144000,0 days 00:39:36.557000,207.0,249.0,266.0,313.0,False,SOFT,23.0,True,Toro Rosso,0 days 00:38:15.472000,2018-07-22 13:44:22.504,1,19.0,False,,False,True
0 days 00:40:57.394000,GAS,10,0 days 00:01:20.797000,25.0,1.0,,,0 days 00:00:17.641000,0 days 00:00:37.595000,0 days 00:00:25.561000,0 days 00:39:54.198000,0 days 00:40:31.793000,0 days 00:40:57.354000,206.0,250.0,265.0,332.0,False,SOFT,24.0,True,Toro Rosso,0 days 00:39:36.597000,2018-07-22 13:45:43.629,1,19.0,False,,False,True
0 days 00:42:18.290000,GAS,10,0 days 00:01:20.896000,26.0,1.0,,,0 days 00:00:17.574000,0 days 00:00:37.660000,0 days 00:00:25.662000,0 days 00:41:14.928000,0 days 00:41:52.588000,0 days 00:42:18.250000,208.0,251.0,265.0,323.0,False,SOFT,25.0,True,Toro Rosso,0 days 00:40:57.394000,2018-07-22 13:47:04.426,1,18.0,False,,False,True
0 days 00:43:39.943000,GAS,10,0 days 00:01:21.653000,27.0,1.0,,,0 days 00:00:17.709000,0 days 00:00:38.339000,0 days 00:00:25.605000,0 days 00:42:35.959000,0 days 00:43:14.298000,0 days 00:43:39.903000,207.0,248.0,264.0,334.0,False,SOFT,26.0,True,Toro Rosso,0 days 00:42:18.290000,2018-07-22 13:48:25.322,1,17.0,False,,False,True
0 days 00:45:00.136000,GAS,10,0 days 00:01:20.193000,28.0,1.0,,,0 days 00:00:17.335000,0 days 00:00:37.902000,0 days 00:00:24.956000,0 days 00:43:57.238000,0 days 00:44:35.140000,0 days 00:45:00.096000,204.0,249.0,258.0,305.0,False,SOFT,27.0,True,Toro Rosso,0 days 00:43:39.943000,2018-07-22 13:49:46.975,2,14.0,False,,False,True
0 days 00:46:19.312000,GAS,10,0 days 00:01:19.176000,29.0,1.0,,,0 days 00:00:17.472000,0 days 00:00:37.183000,0 days 00:00:24.521000,0 days 00:45:17.568000,0 days 00:45:54.751000,0 days 00:46:19.272000,208.0,253.0,260.0,302.0,True,SOFT,28.0,True,Toro Rosso,0 days 00:45:00.136000,2018-07-22 13:51:07.168,2,14.0,False,,False,True
0 days 00:47:39.048000,GAS,10,0 days 00:01:19.736000,30.0,1.0,,,0 days 00:00:17.538000,0 days 00:00:37.414000,0 days 00:00:24.784000,0 days 00:46:36.810000,0 days 00:47:14.224000,0 days 00:47:39.008000,207.0,252.0,258.0,303.0,False,SOFT,29.0,True,Toro Rosso,0 days 00:46:19.312000,2018-07-22 13:52:26.344,1,14.0,False,,False,True
0 days 00:48:58.533000,GAS,10,0 days 00:01:19.485000,31.0,1.0,,,0 days 00:00:17.539000,0 days 00:00:37.394000,0 days 00:00:24.552000,0 days 00:47:56.547000,0 days 00:48:33.941000,0 days 00:48:58.493000,,253.0,258.0,303.0,False,SOFT,30.0,True,Toro Rosso,0 days 00:47:39.048000,2018-07-22 13:53:46.080,1,14.0,False,,False,True
0 days 00:50:17.722000,GAS,10,0 days 00:01:19.189000,32.0,1.0,,,0 days 00:00:17.291000,0 days 00:00:37.272000,0 days 00:00:24.626000,0 days 00:49:15.784000,0 days 00:49:53.056000,0 days 00:50:17.682000,208.0,253.0,259.0,304.0,False,SOFT,31.0,True,Toro Rosso,0 days 00:48:58.533000,2018-07-22 13:55:05.565,1,13.0,False,,False,True
0 days 00:51:37.139000,GAS,10,0 days 00:01:19.417000,33.0,1.0,,,0 days 00:00:17.379000,0 days 00:00:37.488000,0 days 00:00:24.550000,0 days 00:50:35.061000,0 days 00:51:12.549000,0 days 00:51:37.099000,205.0,252.0,261.0,303.0,False,SOFT,32.0,True,Toro Rosso,0 days 00:50:17.722000,2018-07-22 13:56:24.754,1,13.0,False,,False,True
0 days 00:52:56.578000,GAS,10,0 days 00:01:19.439000,34.0,1.0,,,0 days 00:00:17.451000,0 days 00:00:37.370000,0 days 00:00:24.618000,0 days 00:51:54.550000,0 days 00:52:31.920000,0 days 00:52:56.538000,206.0,253.0,261.0,304.0,False,SOFT,33.0,True,Toro Rosso,0 days 00:51:37.139000,2018-07-22 13:57:44.171,1,13.0,False,,False,True
0 days 00:54:18.704000,GAS,10,0 days 00:01:22.126000,35.0,1.0,,,0 days 00:00:17.397000,0 days 00:00:37.447000,0 days 00:00:27.282000,0 days 00:53:13.935000,0 days 00:53:51.382000,0 days 00:54:18.664000,207.0,251.0,264.0,305.0,False,SOFT,34.0,True,Toro Rosso,0 days 00:52:56.578000,2018-07-22 13:59:03.610,1,13.0,False,,False,True
0 days 00:55:38.660000,GAS,10,0 days 00:01:19.956000,36.0,1.0,,,0 days 00:00:17.322000,0 days 00:00:37.795000,0 days 00:00:24.839000,0 days 00:54:35.986000,0 days 00:55:13.781000,0 days 00:55:38.620000,,253.0,261.0,310.0,False,SOFT,35.0,True,Toro Rosso,0 days 00:54:18.704000,2018-07-22 14:00:25.736,1,13.0,False,,False,True
0 days 00:56:59.511000,GAS,10,0 days 00:01:20.851000,37.0,1.0,,,0 days 00:00:17.713000,0 days 00:00:38.230000,0 days 00:00:24.908000,0 days 00:55:56.333000,0 days 00:56:34.563000,0 days 00:56:59.471000,205.0,252.0,260.0,306.0,False,SOFT,36.0,True,Toro Rosso,0 days 00:55:38.660000,2018-07-22 14:01:45.692,1,13.0,False,,False,True
0 days 00:58:20.231000,GAS,10,0 days 00:01:20.720000,38.0,1.0,,,0 days 00:00:17.583000,0 days 00:00:38.192000,0 days 00:00:24.945000,0 days 00:57:17.054000,0 days 00:57:55.246000,0 days 00:58:20.191000,,252.0,261.0,310.0,False,SOFT,37.0,True,Toro Rosso,0 days 00:56:59.511000,2018-07-22 14:03:06.543,1,13.0,False,,False,True
0 days 00:59:40.194000,GAS,10,0 days 00:01:19.963000,39.0,1.0,,,0 days 00:00:17.551000,0 days 00:00:37.682000,0 days 00:00:24.730000,0 days 00:58:37.742000,0 days 00:59:15.424000,0 days 00:59:40.154000,,254.0,261.0,308.0,False,SOFT,38.0,True,Toro Rosso,0 days 00:58:20.231000,2018-07-22 14:04:27.263,1,12.0,False,,False,True
