Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:12.962000,GAS,10,0 days 00:01:40.876000,1.0,,,,,0 days 00:00:44.097000,0 days 00:00:18.465000,,0 days 00:19:54.537000,0 days 00:20:13.042000,267.0,304.0,255.0,302.0,False,nan,,True,Toro Rosso,0 days 00:18:31.869000,2018-10-07 05:13:32.001,1,7.0,False,,False,False
0 days 00:21:50.915000,GAS,10,0 days 00:01:37.953000,2.0,1.0,,,0 days 00:00:35.755000,0 days 00:00:43.569000,0 days 00:00:18.629000,0 days 00:20:48.690000,0 days 00:21:32.259000,0 days 00:21:50.888000,271.0,304.0,254.0,307.0,True,SUPERSOFT,4.0,False,Toro Rosso,0 days 00:20:12.962000,2018-10-07 05:15:13.094,1,7.0,False,,False,True
0 days 00:23:28.268000,GAS,10,0 days 00:01:37.353000,3.0,1.0,,,0 days 00:00:35.079000,0 days 00:00:43.567000,0 days 00:00:18.707000,0 days 00:22:25.967000,0 days 00:23:09.534000,0 days 00:23:28.241000,272.0,303.0,254.0,303.0,True,SUPERSOFT,5.0,False,Toro Rosso,0 days 00:21:50.915000,2018-10-07 05:16:51.047,1,7.0,False,,False,True
0 days 00:25:39.351000,GAS,10,0 days 00:02:11.083000,4.0,1.0,,,0 days 00:00:47.776000,0 days 00:00:53.802000,0 days 00:00:29.505000,0 days 00:24:16.017000,0 days 00:25:09.819000,0 days 00:25:39.324000,180.0,236.0,192.0,224.0,False,SUPERSOFT,6.0,False,Toro Rosso,0 days 00:23:28.268000,2018-10-07 05:18:28.400,4,7.0,False,,False,False
0 days 00:28:01.254000,GAS,10,0 days 00:02:21.903000,5.0,1.0,,,0 days 00:00:49.796000,0 days 00:01:04.395000,0 days 00:00:27.712000,0 days 00:26:29.120000,0 days 00:27:33.515000,0 days 00:28:01.227000,198.0,232.0,172.0,195.0,False,SUPERSOFT,7.0,False,Toro Rosso,0 days 00:25:39.351000,2018-10-07 05:20:39.483,4,7.0,False,,False,False
0 days 00:30:29.545000,GAS,10,0 days 00:02:28.291000,6.0,1.0,,,0 days 00:00:57.868000,0 days 00:01:04.637000,0 days 00:00:25.786000,0 days 00:28:59.095000,0 days 00:30:03.732000,0 days 00:30:29.518000,148.0,204.0,189.0,246.0,False,SUPERSOFT,8.0,False,Toro Rosso,0 days 00:28:01.254000,2018-10-07 05:23:01.386,4,7.0,False,,False,False
0 days 00:32:53.742000,GAS,10,0 days 00:02:24.197000,7.0,1.0,,,0 days 00:00:53.935000,0 days 00:01:08.571000,0 days 00:00:21.691000,0 days 00:31:23.453000,0 days 00:32:32.024000,0 days 00:32:53.715000,188.0,128.0,260.0,263.0,False,SUPERSOFT,9.0,False,Toro Rosso,0 days 00:30:29.545000,2018-10-07 05:25:29.677,4,7.0,False,,False,False
0 days 00:34:32.005000,GAS,10,0 days 00:01:38.263000,8.0,1.0,,,0 days 00:00:35.755000,0 days 00:00:43.912000,0 days 00:00:18.596000,0 days 00:33:29.470000,0 days 00:34:13.382000,0 days 00:34:31.978000,269.0,304.0,255.0,304.0,False,SUPERSOFT,10.0,False,Toro Rosso,0 days 00:32:53.742000,2018-10-07 05:27:53.874,2,6.0,False,,False,False
0 days 00:36:08.848000,GAS,10,0 days 00:01:36.843000,9.0,1.0,,,0 days 00:00:34.948000,0 days 00:00:43.158000,0 days 00:00:18.737000,0 days 00:35:06.926000,0 days 00:35:50.084000,0 days 00:36:08.821000,,303.0,254.0,302.0,True,SUPERSOFT,11.0,False,Toro Rosso,0 days 00:34:32.005000,2018-10-07 05:29:32.137,1,6.0,False,,False,True
0 days 00:37:45.850000,GAS,10,0 days 00:01:37.002000,10.0,1.0,,,0 days 00:00:34.749000,0 days 00:00:43.616000,0 days 00:00:18.637000,0 days 00:36:43.570000,0 days 00:37:27.186000,0 days 00:37:45.823000,271.0,302.0,255.0,302.0,False,SUPERSOFT,12.0,False,Toro Rosso,0 days 00:36:08.848000,2018-10-07 05:31:08.980,1,6.0,False,,False,True
0 days 00:39:22.907000,GAS,10,0 days 00:01:37.057000,11.0,1.0,,,0 days 00:00:34.686000,0 days 00:00:43.597000,0 days 00:00:18.774000,0 days 00:38:20.509000,0 days 00:39:04.106000,0 days 00:39:22.880000,266.0,303.0,254.0,300.0,False,SUPERSOFT,13.0,False,Toro Rosso,0 days 00:37:45.850000,2018-10-07 05:32:45.982,1,6.0,False,,False,True
0 days 00:40:59.946000,GAS,10,0 days 00:01:37.039000,12.0,1.0,,,0 days 00:00:34.782000,0 days 00:00:43.445000,0 days 00:00:18.812000,0 days 00:39:57.662000,0 days 00:40:41.107000,0 days 00:40:59.919000,267.0,302.0,256.0,302.0,False,SUPERSOFT,14.0,False,Toro Rosso,0 days 00:39:22.907000,2018-10-07 05:34:23.039,1,6.0,False,,False,True
0 days 00:42:38.065000,GAS,10,0 days 00:01:38.119000,13.0,1.0,,,0 days 00:00:35.751000,0 days 00:00:43.565000,0 days 00:00:18.803000,0 days 00:41:35.670000,0 days 00:42:19.235000,0 days 00:42:38.038000,269.0,302.0,253.0,302.0,False,SUPERSOFT,15.0,False,Toro Rosso,0 days 00:40:59.946000,2018-10-07 05:36:00.078,1,7.0,False,,False,True
0 days 00:44:15.426000,GAS,10,0 days 00:01:37.361000,14.0,1.0,,,0 days 00:00:35.021000,0 days 00:00:43.564000,0 days 00:00:18.776000,0 days 00:43:13.059000,0 days 00:43:56.623000,0 days 00:44:15.399000,268.0,303.0,254.0,303.0,False,SUPERSOFT,16.0,False,Toro Rosso,0 days 00:42:38.065000,2018-10-07 05:37:38.197,1,7.0,False,,False,True
0 days 00:45:52.557000,GAS,10,0 days 00:01:37.131000,15.0,1.0,,,0 days 00:00:34.782000,0 days 00:00:43.549000,0 days 00:00:18.800000,0 days 00:44:50.181000,0 days 00:45:33.730000,0 days 00:45:52.530000,270.0,302.0,254.0,301.0,False,SUPERSOFT,17.0,False,Toro Rosso,0 days 00:44:15.426000,2018-10-07 05:39:15.558,1,7.0,False,,False,True
0 days 00:47:29.767000,GAS,10,0 days 00:01:37.210000,16.0,1.0,,,0 days 00:00:34.871000,0 days 00:00:43.536000,0 days 00:00:18.803000,0 days 00:46:27.401000,0 days 00:47:10.937000,0 days 00:47:29.740000,271.0,302.0,255.0,300.0,False,SUPERSOFT,18.0,False,Toro Rosso,0 days 00:45:52.557000,2018-10-07 05:40:52.689,1,7.0,False,,False,True
0 days 00:49:06.821000,GAS,10,0 days 00:01:37.054000,17.0,1.0,,,0 days 00:00:34.686000,0 days 00:00:43.513000,0 days 00:00:18.855000,0 days 00:48:04.426000,0 days 00:48:47.939000,0 days 00:49:06.794000,,301.0,256.0,302.0,False,SUPERSOFT,19.0,False,Toro Rosso,0 days 00:47:29.767000,2018-10-07 05:42:29.899,1,7.0,False,,False,True
0 days 00:50:43.712000,GAS,10,0 days 00:01:36.891000,18.0,1.0,,,0 days 00:00:34.681000,0 days 00:00:43.460000,0 days 00:00:18.750000,0 days 00:49:41.475000,0 days 00:50:24.935000,0 days 00:50:43.685000,270.0,301.0,257.0,300.0,False,SUPERSOFT,20.0,False,Toro Rosso,0 days 00:49:06.821000,2018-10-07 05:44:06.953,1,6.0,False,,False,True
0 days 00:52:20.652000,GAS,10,0 days 00:01:36.940000,19.0,1.0,,,0 days 00:00:34.615000,0 days 00:00:43.539000,0 days 00:00:18.786000,0 days 00:51:18.300000,0 days 00:52:01.839000,0 days 00:52:20.625000,,301.0,255.0,301.0,False,SUPERSOFT,21.0,False,Toro Rosso,0 days 00:50:43.712000,2018-10-07 05:45:43.844,1,6.0,False,,False,True
0 days 00:53:57.840000,GAS,10,0 days 00:01:37.188000,20.0,1.0,,,0 days 00:00:34.702000,0 days 00:00:43.580000,0 days 00:00:18.906000,0 days 00:52:55.327000,0 days 00:53:38.907000,0 days 00:53:57.813000,,299.0,254.0,298.0,False,SUPERSOFT,22.0,False,Toro Rosso,0 days 00:52:20.652000,2018-10-07 05:47:20.784,1,6.0,False,,False,True
0 days 00:55:35.640000,GAS,10,0 days 00:01:37.800000,21.0,1.0,,,0 days 00:00:35.002000,0 days 00:00:43.820000,0 days 00:00:18.978000,0 days 00:54:32.815000,0 days 00:55:16.635000,0 days 00:55:35.613000,272.0,300.0,255.0,297.0,False,SUPERSOFT,23.0,False,Toro Rosso,0 days 00:53:57.840000,2018-10-07 05:48:57.972,1,6.0,False,,False,True
0 days 00:57:14.247000,GAS,10,0 days 00:01:38.607000,22.0,1.0,,,0 days 00:00:36.091000,0 days 00:00:43.668000,0 days 00:00:18.848000,0 days 00:56:11.704000,0 days 00:56:55.372000,0 days 00:57:14.220000,274.0,301.0,256.0,300.0,False,SUPERSOFT,24.0,False,Toro Rosso,0 days 00:55:35.640000,2018-10-07 05:50:35.772,1,7.0,False,,False,True
0 days 00:58:51.306000,GAS,10,0 days 00:01:37.059000,23.0,1.0,,,0 days 00:00:34.766000,0 days 00:00:43.490000,0 days 00:00:18.803000,0 days 00:57:48.986000,0 days 00:58:32.476000,0 days 00:58:51.279000,272.0,301.0,258.0,300.0,False,SUPERSOFT,25.0,False,Toro Rosso,0 days 00:57:14.247000,2018-10-07 05:52:14.379,1,7.0,False,,False,True
0 days 01:00:28.942000,GAS,10,0 days 00:01:37.636000,24.0,1.0,,,0 days 00:00:34.932000,0 days 00:00:43.816000,0 days 00:00:18.888000,0 days 00:59:26.211000,0 days 01:00:10.027000,0 days 01:00:28.915000,,301.0,256.0,301.0,False,SUPERSOFT,26.0,False,Toro Rosso,0 days 00:58:51.306000,2018-10-07 05:53:51.438,1,7.0,False,,False,True
0 days 01:02:06.507000,GAS,10,0 days 00:01:37.565000,25.0,1.0,,,0 days 00:00:34.864000,0 days 00:00:43.807000,0 days 00:00:18.894000,0 days 01:01:03.779000,0 days 01:01:47.586000,0 days 01:02:06.480000,271.0,300.0,256.0,299.0,False,SUPERSOFT,27.0,False,Toro Rosso,0 days 01:00:28.942000,2018-10-07 05:55:29.074,1,7.0,False,,False,True
0 days 01:03:44.112000,GAS,10,0 days 00:01:37.605000,26.0,1.0,,,0 days 00:00:34.918000,0 days 00:00:43.798000,0 days 00:00:18.889000,0 days 01:02:41.398000,0 days 01:03:25.196000,0 days 01:03:44.085000,267.0,299.0,258.0,297.0,False,SUPERSOFT,28.0,False,Toro Rosso,0 days 01:02:06.507000,2018-10-07 05:57:06.639,1,7.0,False,,False,True
