Time,Status,Message
0 days 00:05:20.880000,1,AllClear
0 days 00:38:30.932000,2,Yellow
0 days 00:38:48.936000,1,AllClear
0 days 00:38:53.651000,2,Yellow
0 days 00:38:58.567000,6,VSCDeployed
0 days 00:39:55.469000,7,VSCEnding
0 days 00:40:06.874000,1,AllClear
0 days 01:14:15.429000,2,Yellow
0 days 01:14:41.480000,6,VSCDeployed
0 days 01:17:37.957000,7,VSCEnding
0 days 01:17:50.261000,1,AllClear
0 days 01:57:58.372000,2,Yellow
0 days 01:58:13.123000,6,VSCDeployed
0 days 02:00:43.030000,7,VSCEnding
0 days 02:00:57.466000,1,AllClear
