Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:16.937000,GAS,10,0 days 00:01:45.321000,1.0,1.0,,,,0 days 00:00:45.050000,0 days 00:00:24.597000,,0 days 00:34:52.360000,0 days 00:35:17.110000,233.0,240.0,276.0,238.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,12.0,False,,False,False
0 days 00:36:56.053000,GAS,10,0 days 00:01:39.116000,2.0,1.0,,,0 days 00:00:31.173000,0 days 00:00:43.410000,0 days 00:00:24.533000,0 days 00:35:48.088000,0 days 00:36:31.498000,0 days 00:36:56.031000,236.0,243.0,277.0,288.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:35:16.937000,2019-03-31 15:15:17.022,2,12.0,False,,False,True
0 days 00:38:34.847000,GAS,10,0 days 00:01:38.794000,3.0,1.0,,,0 days 00:00:31.088000,0 days 00:00:43.260000,0 days 00:00:24.446000,0 days 00:37:27.119000,0 days 00:38:10.379000,0 days 00:38:34.825000,237.0,241.0,288.0,297.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:56.053000,2019-03-31 15:16:56.138,1,12.0,False,,False,True
0 days 00:40:14.850000,GAS,10,0 days 00:01:40.003000,4.0,1.0,,,0 days 00:00:30.658000,0 days 00:00:44.753000,0 days 00:00:24.592000,0 days 00:39:05.483000,0 days 00:39:50.236000,0 days 00:40:14.828000,,240.0,286.0,318.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:38:34.847000,2019-03-31 15:18:34.932,2,11.0,False,,False,True
0 days 00:41:53.424000,GAS,10,0 days 00:01:38.574000,5.0,1.0,,,0 days 00:00:30.852000,0 days 00:00:43.327000,0 days 00:00:24.395000,0 days 00:40:45.680000,0 days 00:41:29.007000,0 days 00:41:53.402000,,245.0,287.0,313.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:40:14.850000,2019-03-31 15:20:14.935,1,11.0,False,,False,True
0 days 00:43:32.767000,GAS,10,0 days 00:01:39.343000,6.0,1.0,,,0 days 00:00:30.859000,0 days 00:00:43.662000,0 days 00:00:24.822000,0 days 00:42:24.261000,0 days 00:43:07.923000,0 days 00:43:32.745000,233.0,238.0,290.0,319.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:41:53.424000,2019-03-31 15:21:53.509,2,11.0,False,,False,True
0 days 00:45:12.879000,GAS,10,0 days 00:01:40.112000,7.0,1.0,,,0 days 00:00:31.091000,0 days 00:00:44.741000,0 days 00:00:24.280000,0 days 00:44:03.836000,0 days 00:44:48.577000,0 days 00:45:12.857000,227.0,242.0,291.0,323.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:43:32.767000,2019-03-31 15:23:32.852,1,12.0,False,,False,True
0 days 00:46:52.068000,GAS,10,0 days 00:01:39.189000,8.0,1.0,,,0 days 00:00:31.139000,0 days 00:00:43.515000,0 days 00:00:24.535000,0 days 00:45:43.996000,0 days 00:46:27.511000,0 days 00:46:52.046000,232.0,247.0,289.0,299.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:45:12.879000,2019-03-31 15:25:12.964,1,12.0,False,,False,True
0 days 00:48:34.265000,GAS,10,0 days 00:01:42.197000,9.0,1.0,,0 days 00:48:33.019000,0 days 00:00:30.940000,0 days 00:00:44.230000,0 days 00:00:27.027000,0 days 00:47:22.986000,0 days 00:48:07.216000,0 days 00:48:34.243000,237.0,248.0,,324.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:46:52.068000,2019-03-31 15:26:52.153,1,13.0,False,,False,False
0 days 00:50:33.912000,GAS,10,0 days 00:01:59.647000,10.0,2.0,0 days 00:49:00.214000,,0 days 00:00:54.237000,0 days 00:00:41.858000,0 days 00:00:23.552000,0 days 00:49:28.480000,0 days 00:50:10.338000,0 days 00:50:33.890000,239.0,247.0,291.0,217.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:48:34.265000,2019-03-31 15:28:34.350,1,17.0,False,,False,False
0 days 00:52:11.091000,GAS,10,0 days 00:01:37.179000,11.0,2.0,,,0 days 00:00:31.193000,0 days 00:00:42.211000,0 days 00:00:23.775000,0 days 00:51:05.083000,0 days 00:51:47.294000,0 days 00:52:11.069000,235.0,249.0,290.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:50:33.912000,2019-03-31 15:30:33.997,1,17.0,False,,False,True
0 days 00:53:47.584000,GAS,10,0 days 00:01:36.493000,12.0,2.0,,,0 days 00:00:30.389000,0 days 00:00:42.253000,0 days 00:00:23.851000,0 days 00:52:41.458000,0 days 00:53:23.711000,0 days 00:53:47.562000,,247.0,280.0,324.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:52:11.091000,2019-03-31 15:32:11.176,2,14.0,False,,False,True
0 days 00:55:24.403000,GAS,10,0 days 00:01:36.819000,13.0,2.0,,,0 days 00:00:30.639000,0 days 00:00:42.222000,0 days 00:00:23.958000,0 days 00:54:18.201000,0 days 00:55:00.423000,0 days 00:55:24.381000,234.0,247.0,278.0,300.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:53:47.584000,2019-03-31 15:33:47.669,1,13.0,False,,False,True
0 days 00:57:00.970000,GAS,10,0 days 00:01:36.567000,14.0,2.0,,,0 days 00:00:30.493000,0 days 00:00:42.233000,0 days 00:00:23.841000,0 days 00:55:54.874000,0 days 00:56:37.107000,0 days 00:57:00.948000,236.0,253.0,286.0,,False,SOFT,5.0,True,Red Bull Racing,0 days 00:55:24.403000,2019-03-31 15:35:24.488,1,13.0,False,,False,True
0 days 00:58:38.637000,GAS,10,0 days 00:01:37.667000,15.0,2.0,,,0 days 00:00:30.683000,0 days 00:00:42.987000,0 days 00:00:23.997000,0 days 00:57:31.631000,0 days 00:58:14.618000,0 days 00:58:38.615000,237.0,250.0,286.0,315.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:57:00.970000,2019-03-31 15:37:01.055,1,13.0,False,,False,True
0 days 01:00:16.202000,GAS,10,0 days 00:01:37.565000,16.0,2.0,,,0 days 00:00:30.728000,0 days 00:00:42.971000,0 days 00:00:23.866000,0 days 00:59:09.343000,0 days 00:59:52.314000,0 days 01:00:16.180000,,247.0,291.0,316.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:58:38.637000,2019-03-31 15:38:38.722,1,13.0,False,,False,True
0 days 01:01:54.272000,GAS,10,0 days 00:01:38.070000,17.0,2.0,,,0 days 00:00:31.162000,0 days 00:00:43.059000,0 days 00:00:23.849000,0 days 01:00:47.342000,0 days 01:01:30.401000,0 days 01:01:54.250000,234.0,251.0,278.0,326.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:00:16.202000,2019-03-31 15:40:16.287,1,11.0,False,,False,True
0 days 01:03:31.745000,GAS,10,0 days 00:01:37.473000,18.0,2.0,,,0 days 00:00:30.835000,0 days 00:00:42.823000,0 days 00:00:23.815000,0 days 01:02:25.085000,0 days 01:03:07.908000,0 days 01:03:31.723000,237.0,243.0,278.0,294.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:01:54.272000,2019-03-31 15:41:54.357,1,11.0,False,,False,True
0 days 01:05:09.797000,GAS,10,0 days 00:01:38.052000,19.0,2.0,,,0 days 00:00:30.822000,0 days 00:00:43.092000,0 days 00:00:24.138000,0 days 01:04:02.545000,0 days 01:04:45.637000,0 days 01:05:09.775000,236.0,237.0,277.0,297.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:03:31.745000,2019-03-31 15:43:31.830,1,11.0,False,,False,True
0 days 01:06:47.478000,GAS,10,0 days 00:01:37.681000,20.0,2.0,,,0 days 00:00:30.761000,0 days 00:00:42.982000,0 days 00:00:23.938000,0 days 01:05:40.536000,0 days 01:06:23.518000,0 days 01:06:47.456000,238.0,252.0,278.0,298.0,False,SOFT,11.0,True,Red Bull Racing,0 days 01:05:09.797000,2019-03-31 15:45:09.882,1,11.0,False,,False,True
0 days 01:08:25.101000,GAS,10,0 days 00:01:37.623000,21.0,2.0,,,0 days 00:00:30.875000,0 days 00:00:42.680000,0 days 00:00:24.068000,0 days 01:07:18.331000,0 days 01:08:01.011000,0 days 01:08:25.079000,237.0,252.0,289.0,300.0,False,SOFT,12.0,True,Red Bull Racing,0 days 01:06:47.478000,2019-03-31 15:46:47.563,1,11.0,False,,False,True
0 days 01:10:03.188000,GAS,10,0 days 00:01:38.087000,22.0,2.0,,,0 days 00:00:30.532000,0 days 00:00:43.682000,0 days 00:00:23.873000,0 days 01:08:55.611000,0 days 01:09:39.293000,0 days 01:10:03.166000,,252.0,277.0,327.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:08:25.101000,2019-03-31 15:48:25.186,1,10.0,False,,False,True
0 days 01:11:41.617000,GAS,10,0 days 00:01:38.429000,23.0,2.0,,,0 days 00:00:31.009000,0 days 00:00:43.411000,0 days 00:00:24.009000,0 days 01:10:34.175000,0 days 01:11:17.586000,0 days 01:11:41.595000,,243.0,277.0,300.0,False,SOFT,14.0,True,Red Bull Racing,0 days 01:10:03.188000,2019-03-31 15:50:03.273,1,10.0,False,,False,True
0 days 01:13:19.582000,GAS,10,0 days 00:01:37.965000,24.0,2.0,,,0 days 00:00:30.935000,0 days 00:00:43.139000,0 days 00:00:23.891000,0 days 01:12:12.530000,0 days 01:12:55.669000,0 days 01:13:19.560000,,241.0,279.0,296.0,False,SOFT,15.0,True,Red Bull Racing,0 days 01:11:41.617000,2019-03-31 15:51:41.702,1,10.0,False,,False,True
0 days 01:14:57.601000,GAS,10,0 days 00:01:38.019000,25.0,2.0,,,0 days 00:00:30.973000,0 days 00:00:42.991000,0 days 00:00:24.055000,0 days 01:13:50.533000,0 days 01:14:33.524000,0 days 01:14:57.579000,236.0,245.0,278.0,297.0,False,SOFT,16.0,True,Red Bull Racing,0 days 01:13:19.582000,2019-03-31 15:53:19.667,1,9.0,False,,False,True
0 days 01:16:35.561000,GAS,10,0 days 00:01:37.960000,26.0,2.0,,,0 days 00:00:30.929000,0 days 00:00:43.133000,0 days 00:00:23.898000,0 days 01:15:28.508000,0 days 01:16:11.641000,0 days 01:16:35.539000,,237.0,278.0,298.0,False,SOFT,17.0,True,Red Bull Racing,0 days 01:14:57.601000,2019-03-31 15:54:57.686,1,9.0,False,,False,True
0 days 01:18:13.621000,GAS,10,0 days 00:01:38.060000,27.0,2.0,,,0 days 00:00:30.964000,0 days 00:00:43.190000,0 days 00:00:23.906000,0 days 01:17:06.503000,0 days 01:17:49.693000,0 days 01:18:13.599000,235.0,242.0,279.0,301.0,False,SOFT,18.0,True,Red Bull Racing,0 days 01:16:35.561000,2019-03-31 15:56:35.646,1,9.0,False,,False,True
0 days 01:19:52.373000,GAS,10,0 days 00:01:38.752000,28.0,2.0,,,0 days 00:00:31.180000,0 days 00:00:43.521000,0 days 00:00:24.051000,0 days 01:18:44.779000,0 days 01:19:28.300000,0 days 01:19:52.351000,236.0,246.0,278.0,303.0,False,SOFT,19.0,True,Red Bull Racing,0 days 01:18:13.621000,2019-03-31 15:58:13.706,1,9.0,False,,False,True
0 days 01:21:30.570000,GAS,10,0 days 00:01:38.197000,29.0,2.0,,,0 days 00:00:30.983000,0 days 00:00:43.148000,0 days 00:00:24.066000,0 days 01:20:23.334000,0 days 01:21:06.482000,0 days 01:21:30.548000,,244.0,279.0,302.0,False,SOFT,20.0,True,Red Bull Racing,0 days 01:19:52.373000,2019-03-31 15:59:52.458,1,9.0,False,,False,True
0 days 01:23:08.972000,GAS,10,0 days 00:01:38.402000,30.0,2.0,,,0 days 00:00:30.879000,0 days 00:00:43.622000,0 days 00:00:23.901000,0 days 01:22:01.427000,0 days 01:22:45.049000,0 days 01:23:08.950000,237.0,238.0,279.0,304.0,False,SOFT,21.0,True,Red Bull Racing,0 days 01:21:30.570000,2019-03-31 16:01:30.655,1,9.0,False,,False,True
0 days 01:24:47.661000,GAS,10,0 days 00:01:38.689000,31.0,2.0,,,0 days 00:00:30.913000,0 days 00:00:43.767000,0 days 00:00:24.009000,0 days 01:23:39.863000,0 days 01:24:23.630000,0 days 01:24:47.639000,236.0,240.0,279.0,,False,SOFT,22.0,True,Red Bull Racing,0 days 01:23:08.972000,2019-03-31 16:03:09.057,1,9.0,False,,False,True
0 days 01:26:26.014000,GAS,10,0 days 00:01:38.353000,32.0,2.0,,,0 days 00:00:30.858000,0 days 00:00:43.477000,0 days 00:00:24.018000,0 days 01:25:18.497000,0 days 01:26:01.974000,0 days 01:26:25.992000,,245.0,279.0,303.0,False,SOFT,23.0,True,Red Bull Racing,0 days 01:24:47.661000,2019-03-31 16:04:47.746,1,9.0,False,,False,True
0 days 01:28:04.821000,GAS,10,0 days 00:01:38.807000,33.0,2.0,,,0 days 00:00:31.065000,0 days 00:00:43.564000,0 days 00:00:24.178000,0 days 01:26:57.057000,0 days 01:27:40.621000,0 days 01:28:04.799000,237.0,245.0,280.0,304.0,False,SOFT,24.0,True,Red Bull Racing,0 days 01:26:26.014000,2019-03-31 16:06:26.099,1,7.0,False,,False,True
0 days 01:29:43.227000,GAS,10,0 days 00:01:38.406000,34.0,2.0,,,0 days 00:00:30.961000,0 days 00:00:43.450000,0 days 00:00:23.995000,0 days 01:28:35.760000,0 days 01:29:19.210000,0 days 01:29:43.205000,235.0,239.0,280.0,305.0,False,SOFT,25.0,True,Red Bull Racing,0 days 01:28:04.821000,2019-03-31 16:08:04.906,1,7.0,False,,False,True
0 days 01:31:22.076000,GAS,10,0 days 00:01:38.849000,35.0,2.0,,,0 days 00:00:31.101000,0 days 00:00:43.696000,0 days 00:00:24.052000,0 days 01:30:14.306000,0 days 01:30:58.002000,0 days 01:31:22.054000,236.0,243.0,280.0,304.0,False,SOFT,26.0,True,Red Bull Racing,0 days 01:29:43.227000,2019-03-31 16:09:43.312,1,6.0,False,,False,True
0 days 01:33:00.752000,GAS,10,0 days 00:01:38.676000,36.0,2.0,,,0 days 00:00:31.172000,0 days 00:00:43.384000,0 days 00:00:24.120000,0 days 01:31:53.226000,0 days 01:32:36.610000,0 days 01:33:00.730000,238.0,240.0,280.0,301.0,False,SOFT,27.0,True,Red Bull Racing,0 days 01:31:22.076000,2019-03-31 16:11:22.161,1,6.0,False,,False,True
0 days 01:34:39.285000,GAS,10,0 days 00:01:38.533000,37.0,2.0,,,0 days 00:00:31.018000,0 days 00:00:43.548000,0 days 00:00:23.967000,0 days 01:33:31.748000,0 days 01:34:15.296000,0 days 01:34:39.263000,239.0,247.0,279.0,303.0,False,SOFT,28.0,True,Red Bull Racing,0 days 01:33:00.752000,2019-03-31 16:13:00.837,2,6.0,False,,False,True
0 days 01:36:18.460000,GAS,10,0 days 00:01:39.175000,38.0,2.0,,,0 days 00:00:31.116000,0 days 00:00:43.837000,0 days 00:00:24.222000,0 days 01:35:10.379000,0 days 01:35:54.216000,0 days 01:36:18.438000,236.0,243.0,279.0,304.0,False,SOFT,29.0,True,Red Bull Racing,0 days 01:34:39.285000,2019-03-31 16:14:39.370,1,6.0,False,,False,True
0 days 01:38:00.354000,GAS,10,0 days 00:01:41.894000,39.0,2.0,,0 days 01:37:58.575000,0 days 00:00:31.250000,0 days 00:00:43.722000,0 days 00:00:26.922000,0 days 01:36:49.688000,0 days 01:37:33.410000,0 days 01:38:00.332000,238.0,245.0,,303.0,False,SOFT,30.0,True,Red Bull Racing,0 days 01:36:18.460000,2019-03-31 16:16:18.545,1,5.0,False,,False,False
