Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:29.412000,GAS,10,0 days 00:01:25.163000,1.0,1.0,,,,0 days 00:00:25.362000,0 days 00:00:31.246000,,0 days 00:33:58.824000,0 days 00:34:29.545000,242.0,278.0,270.0,307.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,5.0,False,,False,False
0 days 00:35:48.046000,GAS,10,0 days 00:01:18.634000,2.0,1.0,,,0 days 00:00:22.248000,0 days 00:00:25.090000,0 days 00:00:31.296000,0 days 00:34:51.636000,0 days 00:35:16.726000,0 days 00:35:48.022000,243.0,281.0,280.0,312.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:34:29.412000,2019-06-09 18:14:29.490,2,5.0,False,,False,True
0 days 00:37:06,GAS,10,0 days 00:01:17.954000,3.0,1.0,,,0 days 00:00:21.941000,0 days 00:00:24.957000,0 days 00:00:31.056000,0 days 00:36:09.963000,0 days 00:36:34.920000,0 days 00:37:05.976000,,281.0,287.0,322.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:35:48.046000,2019-06-09 18:15:48.124,1,5.0,False,,False,True
0 days 00:38:23.767000,GAS,10,0 days 00:01:17.767000,4.0,1.0,,,0 days 00:00:21.710000,0 days 00:00:24.903000,0 days 00:00:31.154000,0 days 00:37:27.686000,0 days 00:37:52.589000,0 days 00:38:23.743000,247.0,280.0,279.0,308.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:37:06,2019-06-09 18:17:06.078,1,5.0,False,,False,True
0 days 00:39:41.812000,GAS,10,0 days 00:01:18.045000,5.0,1.0,,,0 days 00:00:21.774000,0 days 00:00:25.084000,0 days 00:00:31.187000,0 days 00:38:45.517000,0 days 00:39:10.601000,0 days 00:39:41.788000,249.0,280.0,286.0,320.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:38:23.767000,2019-06-09 18:18:23.845,1,5.0,False,,False,True
0 days 00:41:00.159000,GAS,10,0 days 00:01:18.347000,6.0,1.0,,,0 days 00:00:21.908000,0 days 00:00:25.144000,0 days 00:00:31.295000,0 days 00:40:03.696000,0 days 00:40:28.840000,0 days 00:41:00.135000,241.0,280.0,280.0,306.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:39:41.812000,2019-06-09 18:19:41.890,1,5.0,False,,False,True
0 days 00:42:33.953000,GAS,10,0 days 00:01:33.794000,7.0,1.0,,0 days 00:42:12.698000,0 days 00:00:21.837000,0 days 00:00:25.243000,0 days 00:00:46.714000,0 days 00:41:21.972000,0 days 00:41:47.215000,0 days 00:42:33.929000,236.0,279.0,,306.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:41:00.159000,2019-06-09 18:21:00.237,1,13.0,False,,False,False
0 days 00:43:54.081000,GAS,10,0 days 00:01:20.128000,8.0,2.0,0 days 00:42:35.338000,,0 days 00:00:23.840000,0 days 00:00:24.842000,0 days 00:00:31.446000,0 days 00:42:57.769000,0 days 00:43:22.611000,0 days 00:43:54.057000,248.0,279.0,278.0,304.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:42:33.953000,2019-06-09 18:22:34.031,1,13.0,False,,False,False
0 days 00:45:11.299000,GAS,10,0 days 00:01:17.218000,9.0,2.0,,,0 days 00:00:21.589000,0 days 00:00:24.746000,0 days 00:00:30.883000,0 days 00:44:15.646000,0 days 00:44:40.392000,0 days 00:45:11.275000,,282.0,285.0,332.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:43:54.081000,2019-06-09 18:23:54.159,2,12.0,False,,False,True
0 days 00:46:29.993000,GAS,10,0 days 00:01:18.694000,10.0,2.0,,,0 days 00:00:22.387000,0 days 00:00:25.357000,0 days 00:00:30.950000,0 days 00:45:33.662000,0 days 00:45:59.019000,0 days 00:46:29.969000,246.0,281.0,291.0,325.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:45:11.299000,2019-06-09 18:25:11.377,2,12.0,False,,False,True
0 days 00:47:49.415000,GAS,10,0 days 00:01:19.422000,11.0,2.0,,,0 days 00:00:22.903000,0 days 00:00:25.256000,0 days 00:00:31.263000,0 days 00:46:52.872000,0 days 00:47:18.128000,0 days 00:47:49.391000,243.0,284.0,287.0,326.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:46:29.993000,2019-06-09 18:26:30.071,2,10.0,False,,False,True
0 days 00:49:07.563000,GAS,10,0 days 00:01:18.148000,12.0,2.0,,,0 days 00:00:21.901000,0 days 00:00:25.056000,0 days 00:00:31.191000,0 days 00:48:11.292000,0 days 00:48:36.348000,0 days 00:49:07.539000,239.0,280.0,280.0,307.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:47:49.415000,2019-06-09 18:27:49.493,2,9.0,False,,False,True
0 days 00:50:25.661000,GAS,10,0 days 00:01:18.098000,13.0,2.0,,,0 days 00:00:22.052000,0 days 00:00:24.841000,0 days 00:00:31.205000,0 days 00:49:29.591000,0 days 00:49:54.432000,0 days 00:50:25.637000,246.0,281.0,280.0,307.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:49:07.563000,2019-06-09 18:29:07.641,2,9.0,False,,False,True
0 days 00:51:43.100000,GAS,10,0 days 00:01:17.439000,14.0,2.0,,,0 days 00:00:21.742000,0 days 00:00:24.902000,0 days 00:00:30.795000,0 days 00:50:47.379000,0 days 00:51:12.281000,0 days 00:51:43.076000,248.0,281.0,290.0,325.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:50:25.661000,2019-06-09 18:30:25.739,1,9.0,False,,False,True
0 days 00:53:01.264000,GAS,10,0 days 00:01:18.164000,15.0,2.0,,,0 days 00:00:22.258000,0 days 00:00:25.047000,0 days 00:00:30.859000,0 days 00:52:05.334000,0 days 00:52:30.381000,0 days 00:53:01.240000,247.0,279.0,289.0,324.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:51:43.100000,2019-06-09 18:31:43.178,1,9.0,False,,False,True
0 days 00:54:19.111000,GAS,10,0 days 00:01:17.847000,16.0,2.0,,,0 days 00:00:22.073000,0 days 00:00:24.798000,0 days 00:00:30.976000,0 days 00:53:23.313000,0 days 00:53:48.111000,0 days 00:54:19.087000,250.0,281.0,288.0,322.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:53:01.264000,2019-06-09 18:33:01.342,1,9.0,False,,False,True
0 days 00:55:37.130000,GAS,10,0 days 00:01:18.019000,17.0,2.0,,,0 days 00:00:22.043000,0 days 00:00:24.809000,0 days 00:00:31.167000,0 days 00:54:41.130000,0 days 00:55:05.939000,0 days 00:55:37.106000,251.0,279.0,287.0,327.0,False,HARD,10.0,True,Red Bull Racing,0 days 00:54:19.111000,2019-06-09 18:34:19.189,1,9.0,False,,False,True
0 days 00:56:55.187000,GAS,10,0 days 00:01:18.057000,18.0,2.0,,,0 days 00:00:22.099000,0 days 00:00:24.943000,0 days 00:00:31.015000,0 days 00:55:59.205000,0 days 00:56:24.148000,0 days 00:56:55.163000,,280.0,287.0,322.0,False,HARD,11.0,True,Red Bull Racing,0 days 00:55:37.130000,2019-06-09 18:35:37.208,1,9.0,False,,False,True
0 days 00:58:12.670000,GAS,10,0 days 00:01:17.483000,19.0,2.0,,,0 days 00:00:21.825000,0 days 00:00:24.774000,0 days 00:00:30.884000,0 days 00:57:16.988000,0 days 00:57:41.762000,0 days 00:58:12.646000,249.0,280.0,289.0,320.0,False,HARD,12.0,True,Red Bull Racing,0 days 00:56:55.187000,2019-06-09 18:36:55.265,1,9.0,False,,False,True
0 days 00:59:30.549000,GAS,10,0 days 00:01:17.879000,20.0,2.0,,,0 days 00:00:21.773000,0 days 00:00:24.756000,0 days 00:00:31.350000,0 days 00:58:34.419000,0 days 00:58:59.175000,0 days 00:59:30.525000,253.0,277.0,288.0,316.0,False,HARD,13.0,True,Red Bull Racing,0 days 00:58:12.670000,2019-06-09 18:38:12.748,1,9.0,False,,False,True
0 days 01:00:48.496000,GAS,10,0 days 00:01:17.947000,21.0,2.0,,,0 days 00:00:21.757000,0 days 00:00:24.865000,0 days 00:00:31.325000,0 days 00:59:52.282000,0 days 01:00:17.147000,0 days 01:00:48.472000,249.0,276.0,279.0,298.0,False,HARD,14.0,True,Red Bull Racing,0 days 00:59:30.549000,2019-06-09 18:39:30.627,1,9.0,False,,False,True
0 days 01:02:06.230000,GAS,10,0 days 00:01:17.734000,22.0,2.0,,,0 days 00:00:21.661000,0 days 00:00:24.728000,0 days 00:00:31.345000,0 days 01:01:10.133000,0 days 01:01:34.861000,0 days 01:02:06.206000,250.0,277.0,279.0,300.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:00:48.496000,2019-06-09 18:40:48.574,1,9.0,False,,False,True
0 days 01:03:23.808000,GAS,10,0 days 00:01:17.578000,23.0,2.0,,,0 days 00:00:21.473000,0 days 00:00:24.918000,0 days 00:00:31.187000,0 days 01:02:27.679000,0 days 01:02:52.597000,0 days 01:03:23.784000,253.0,281.0,280.0,305.0,False,HARD,16.0,True,Red Bull Racing,0 days 01:02:06.230000,2019-06-09 18:42:06.308,1,9.0,False,,False,True
0 days 01:04:41.282000,GAS,10,0 days 00:01:17.474000,24.0,2.0,,,0 days 00:00:21.502000,0 days 00:00:24.894000,0 days 00:00:31.078000,0 days 01:03:45.286000,0 days 01:04:10.180000,0 days 01:04:41.258000,248.0,280.0,280.0,301.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:03:23.808000,2019-06-09 18:43:23.886,1,9.0,False,,False,True
0 days 01:05:58.541000,GAS,10,0 days 00:01:17.259000,25.0,2.0,,,0 days 00:00:21.445000,0 days 00:00:24.678000,0 days 00:00:31.136000,0 days 01:05:02.703000,0 days 01:05:27.381000,0 days 01:05:58.517000,253.0,281.0,281.0,305.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:04:41.282000,2019-06-09 18:44:41.360,1,9.0,False,,False,True
0 days 01:07:16.087000,GAS,10,0 days 00:01:17.546000,26.0,2.0,,,0 days 00:00:21.416000,0 days 00:00:25.103000,0 days 00:00:31.027000,0 days 01:06:19.933000,0 days 01:06:45.036000,0 days 01:07:16.063000,251.0,281.0,280.0,305.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:05:58.541000,2019-06-09 18:45:58.619,1,9.0,False,,False,True
0 days 01:08:33.331000,GAS,10,0 days 00:01:17.244000,27.0,2.0,,,0 days 00:00:21.428000,0 days 00:00:24.735000,0 days 00:00:31.081000,0 days 01:07:37.491000,0 days 01:08:02.226000,0 days 01:08:33.307000,252.0,283.0,283.0,309.0,False,HARD,20.0,True,Red Bull Racing,0 days 01:07:16.087000,2019-06-09 18:47:16.165,1,9.0,False,,False,True
