Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:07.239000,HAM,44,0 days 00:01:42.031000,1.0,1.0,,,,0 days 00:00:29.624000,0 days 00:00:42.478000,,0 days 00:34:24.870000,0 days 00:35:07.483000,111.0,275.0,284.0,307.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,1.0,False,,False,False
0 days 00:36:44.671000,HAM,44,0 days 00:01:37.432000,2.0,1.0,,,0 days 00:00:24.852000,0 days 00:00:30.172000,0 days 00:00:42.408000,0 days 00:35:32.091000,0 days 00:36:02.263000,0 days 00:36:44.671000,103.0,273.0,285.0,299.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:35:07.239000,2019-06-23 13:15:07.445,1,1.0,False,,False,True
0 days 00:38:21.422000,HAM,44,0 days 00:01:36.751000,3.0,1.0,,,0 days 00:00:24.570000,0 days 00:00:29.666000,0 days 00:00:42.515000,0 days 00:37:09.241000,0 days 00:37:38.907000,0 days 00:38:21.422000,114.0,275.0,285.0,299.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:36:44.671000,2019-06-23 13:16:44.877,1,1.0,False,,False,True
0 days 00:39:57.712000,HAM,44,0 days 00:01:36.290000,4.0,1.0,,,0 days 00:00:24.255000,0 days 00:00:29.640000,0 days 00:00:42.395000,0 days 00:38:45.677000,0 days 00:39:15.317000,0 days 00:39:57.712000,112.0,274.0,284.0,302.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:38:21.422000,2019-06-23 13:18:21.628,1,1.0,False,,False,True
0 days 00:41:33.691000,HAM,44,0 days 00:01:35.979000,5.0,1.0,,,0 days 00:00:24.282000,0 days 00:00:29.660000,0 days 00:00:42.037000,0 days 00:40:21.994000,0 days 00:40:51.654000,0 days 00:41:33.691000,113.0,275.0,285.0,302.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:39:57.712000,2019-06-23 13:19:57.918,1,1.0,False,,False,True
0 days 00:43:09.636000,HAM,44,0 days 00:01:35.945000,6.0,1.0,,,0 days 00:00:24.108000,0 days 00:00:29.593000,0 days 00:00:42.244000,0 days 00:41:57.799000,0 days 00:42:27.392000,0 days 00:43:09.636000,114.0,275.0,285.0,302.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:41:33.691000,2019-06-23 13:21:33.897,1,1.0,False,,False,True
0 days 00:44:45.968000,HAM,44,0 days 00:01:36.332000,7.0,1.0,,,0 days 00:00:24.187000,0 days 00:00:29.609000,0 days 00:00:42.536000,0 days 00:43:33.823000,0 days 00:44:03.432000,0 days 00:44:45.968000,,275.0,284.0,300.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:43:09.636000,2019-06-23 13:23:09.842,1,1.0,False,,False,True
0 days 00:46:21.896000,HAM,44,0 days 00:01:35.928000,8.0,1.0,,,0 days 00:00:24.024000,0 days 00:00:29.517000,0 days 00:00:42.387000,0 days 00:45:09.992000,0 days 00:45:39.509000,0 days 00:46:21.896000,113.0,274.0,284.0,300.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:44:45.968000,2019-06-23 13:24:46.174,1,1.0,False,,False,True
0 days 00:47:57.637000,HAM,44,0 days 00:01:35.741000,9.0,1.0,,,0 days 00:00:24.011000,0 days 00:00:29.521000,0 days 00:00:42.209000,0 days 00:46:45.907000,0 days 00:47:15.428000,0 days 00:47:57.637000,112.0,274.0,286.0,300.0,True,MEDIUM,13.0,False,Mercedes,0 days 00:46:21.896000,2019-06-23 13:26:22.102,1,1.0,False,,False,True
0 days 00:49:33.345000,HAM,44,0 days 00:01:35.708000,10.0,1.0,,,0 days 00:00:23.913000,0 days 00:00:29.321000,0 days 00:00:42.474000,0 days 00:48:21.550000,0 days 00:48:50.871000,0 days 00:49:33.345000,114.0,277.0,286.0,301.0,True,MEDIUM,14.0,False,Mercedes,0 days 00:47:57.637000,2019-06-23 13:27:57.843,1,1.0,False,,False,True
