Time,Status,Message
0 days 00:11:48.958000,1,AllClear
0 days 00:43:20.330000,4,SCDeployed
0 days 00:47:35.862000,1,AllClear
0 days 01:03:10.874000,2,Yellow
0 days 01:03:48.061000,6,VSCDeployed
0 days 01:04:58.741000,7,VSCEnding
0 days 01:05:12.678000,1,AllClear
0 days 01:09:52.092000,2,Yellow
0 days 01:10:11.625000,1,AllClear
0 days 01:21:50.839000,2,Yellow
0 days 01:22:11.593000,1,AllClear
0 days 01:22:42.174000,2,Yellow
0 days 01:23:17.328000,6,VSCDeployed
0 days 01:24:46.236000,7,VSCEnding
0 days 01:24:58.288000,1,AllClear
0 days 01:25:22.906000,2,Yellow
0 days 01:25:46.417000,4,SCDeployed
0 days 01:36:35.078000,1,AllClear
0 days 01:47:16.087000,2,Yellow
0 days 01:47:51.607000,4,SCDeployed
0 days 01:57:04.937000,1,AllClear
0 days 02:07:25.277000,2,Yellow
0 days 02:07:31.942000,1,AllClear
0 days 02:12:25.379000,2,Yellow
0 days 02:12:44.264000,4,SCDeployed
0 days 02:17:58.448000,1,AllClear
