X,Y,Number,Letter,Angle,Distance,Type,Rotation
-2268.255615234375,4480.01220703125,1,,145.68175941520641,403.1770111300095,corners,91.0
2999.999267578125,504.4121398925781,2,,-118.1437971997148,1106.1668264838254,corners,91.0
3817.088134765625,-223.75808715820312,3,,21.623120750256426,1209.4718700180708,corners,91.0
4054.815185546875,-1175.5828857421875,4,,-159.37230591855115,1312.545809014887,corners,91.0
8288.3798828125,-11558.162109375,5,,-19.044517633774447,2419.2623206845506,corners,91.0
7822.23583984375,-12185.4541015625,6,,162.88664031411616,2510.915091415756,corners,91.0
7960.5205078125,-13774.4111328125,7,,153.5589625319835,2682.269285649648,corners,91.0
4795.484375,-15569.1689453125,8,,-147.87551693169823,3056.0981644178164,corners,91.0
6124.01416015625,-13828.8994140625,9,,172.22776136494474,3313.4409732999516,corners,91.0
4679.7138671875,-8919.283203125,10,,40.95163822007065,3842.769620269305,corners,91.0
2442.751220703125,-8984.7734375,11,,-46.08229755088073,4088.174981042379,corners,91.0
765.8057861328125,-12791.740234375,12,,-49.676165997109315,4494.936087530534,corners,91.0
-711.81396484375,-12662.1513671875,13,,102.89657229563842,4652.914287911921,corners,91.0
-2527.06591796875,-14855.037109375,14,,-69.16199272690382,4938.414197973049,corners,91.0
-4336.47314453125,-13437.90234375,15,,-173.38859911250455,5208.600409365176,corners,91.0
370.2557678222656,-8378.4921875,16,,142.6697670739105,5941.6956874309,corners,91.0
1346.130126953125,-5851.3837890625,17,,2.717271720601312,6210.255219920597,corners,91.0
24.782848358154297,-701.6300048828125,18,,157.75138809208076,6707.300799387369,corners,91.0
549.4779052734375,-386.9144592285156,19,,-14.515880956568681,6788.4089142069215,corners,91.0
-387.0,1235.0,1,,29.11699805450458,42.470822479039,lights,91.0
-1546.9715576171875,2985.1259765625,2,,-147.1516723023426,238.06164995345466,lights,91.0
116.63673400878906,3377.171630859375,3,,52.204641830878415,676.357729672537,lights,91.0
2215.712890625,1266.769775390625,4,,41.3456817712027,974.315694615478,lights,91.0
3974.1025390625,-810.0823974609375,5,,8.177673588547023,1260.9012118316332,lights,91.0
6080.12109375,-4501.35986328125,6,,18.83993855675156,1702.1130301614069,lights,91.0
8031.775390625,-10341.333984375,7,,18.208582129365727,2311.6275102082623,lights,91.0
7974.93603515625,-13745.1298828125,8,,-24.821723014733017,2664.9613944965377,lights,91.0
6192.7041015625,-15194.537109375,9,,-51.230467507550756,2903.1609287830224,lights,91.0
5220.28125,-14648.0458984375,10,,120.52387365008914,3206.1487443809183,lights,91.0
5206.79638671875,-10535.533203125,11,,11.771867607363097,3656.3296118780945,lights,91.0
2987.586181640625,-8622.638671875,12,,111.89839442470635,4040.129599596601,lights,91.0
1295.0179443359375,-11744.736328125,13,,-17.603012853056494,4388.091853143596,lights,91.0
-1777.6617431640625,-13801.267578125,14,,-24.967215634023102,4834.251535353408,lights,91.0
-4288.1220703125,-13660.416015625,15,,-162.97056658295486,5186.93106084025,lights,91.0
-2309.33447265625,-10235.2509765625,16,,126.6674775211672,5607.279783537043,lights,91.0
-443.92010498046875,-9116.947265625,17,,-57.469257898067234,5808.0252004421,lights,91.0
1333.651611328125,-5677.82275390625,18,,7.6320100811930525,6210.255219920597,lights,91.0
255.1331329345703,-2670.661865234375,19,,-167.66099569341347,6531.86763763255,lights,91.0
-387.0,1235.0,1,,31.23583156858584,42.470822479039,sectors,91.0
-1483.7095947265625,2890.0146484375,2,,-146.4098521032535,214.64595775892667,sectors,91.0
95.1048812866211,3393.78857421875,3,,51.67220232023772,676.357729672537,sectors,91.0
2456.675048828125,993.3656616210938,4,,41.53416173783613,1027.0597570904145,sectors,91.0
4078.29638671875,-1236.487548828125,5,,20.98138662791212,1312.545809014887,sectors,91.0
6027.1923828125,-4352.76708984375,6,,20.401014058426245,1675.087073216927,sectors,91.0
8028.29931640625,-10331.025390625,7,,18.56130708217142,2311.6275102082623,sectors,91.0
8001.21728515625,-13679.6162109375,8,,-17.084716265966467,2664.9613944965377,sectors,91.0
6235.08544921875,-15160.4365234375,9,,-51.13003851569516,2903.1609287830224,sectors,91.0
5550.69384765625,-14470.267578125,10,,116.90225124529283,3222.364638726549,sectors,91.0
5212.39990234375,-10562.1494140625,11,,11.83450164410756,3656.3296118780945,sectors,91.0
3100.298095703125,-8582.9970703125,12,,102.90176532775604,4040.129599596601,sectors,91.0
1286.793701171875,-11770.6591796875,13,,-17.916970083652622,4388.091853143596,sectors,91.0
-1775.3814697265625,-13796.326171875,14,,-24.828296176361512,4834.251535353408,sectors,91.0
-4247.029296875,-13761.0380859375,15,,-155.78571176465883,5165.717194642676,sectors,91.0
-2215.629150390625,-10169.923828125,16,,124.69217141798248,5607.279783537043,sectors,91.0
-443.92010498046875,-9116.947265625,17,,-56.58767097075634,5808.0252004421,sectors,91.0
1333.651611328125,-5677.82275390625,18,,7.527571393457879,6210.255219920597,sectors,91.0
241.2670440673828,-2601.325439453125,19,,-168.26772433152817,6531.86763763255,sectors,91.0
