Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:40.246000,GAS,10,0 days 00:01:59.586000,1.0,1.0,,,,0 days 00:00:45.209000,0 days 00:00:38.906000,,0 days 00:35:01.439000,0 days 00:35:40.563000,299.0,264.0,239.0,226.0,False,HARD,1.0,True,Toro Rosso,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,10.0,False,,False,False
0 days 00:37:31.079000,GAS,10,0 days 00:01:50.833000,2.0,1.0,,,0 days 00:00:29.936000,0 days 00:00:42.990000,0 days 00:00:37.907000,0 days 00:36:10.168000,0 days 00:36:53.158000,0 days 00:37:31.065000,297.0,256.0,240.0,283.0,True,HARD,2.0,True,Toro Rosso,0 days 00:35:40.246000,2019-09-22 12:15:41.214,1,10.0,False,,False,True
0 days 00:39:21.722000,GAS,10,0 days 00:01:50.643000,3.0,1.0,,,0 days 00:00:29.573000,0 days 00:00:43.077000,0 days 00:00:37.993000,0 days 00:38:00.638000,0 days 00:38:43.715000,0 days 00:39:21.708000,307.0,265.0,242.0,282.0,True,HARD,3.0,True,Toro Rosso,0 days 00:37:31.079000,2019-09-22 12:17:32.047,1,10.0,False,,False,True
0 days 00:41:11.754000,GAS,10,0 days 00:01:50.032000,4.0,1.0,,,0 days 00:00:29.580000,0 days 00:00:42.656000,0 days 00:00:37.796000,0 days 00:39:51.288000,0 days 00:40:33.944000,0 days 00:41:11.740000,309.0,268.0,243.0,284.0,True,HARD,4.0,True,Toro Rosso,0 days 00:39:21.722000,2019-09-22 12:19:22.690,1,10.0,False,,False,True
0 days 00:43:01.511000,GAS,10,0 days 00:01:49.757000,5.0,1.0,,,0 days 00:00:29.388000,0 days 00:00:42.594000,0 days 00:00:37.775000,0 days 00:41:41.128000,0 days 00:42:23.722000,0 days 00:43:01.497000,301.0,269.0,243.0,,True,HARD,5.0,True,Toro Rosso,0 days 00:41:11.754000,2019-09-22 12:21:12.722,1,10.0,False,,False,True
0 days 00:44:50.769000,GAS,10,0 days 00:01:49.258000,6.0,1.0,,,0 days 00:00:29.487000,0 days 00:00:42.372000,0 days 00:00:37.399000,0 days 00:43:30.984000,0 days 00:44:13.356000,0 days 00:44:50.755000,293.0,262.0,241.0,,True,HARD,6.0,True,Toro Rosso,0 days 00:43:01.511000,2019-09-22 12:23:02.479,1,10.0,False,,False,True
0 days 00:46:39.770000,GAS,10,0 days 00:01:49.001000,7.0,1.0,,,0 days 00:00:29.441000,0 days 00:00:42.381000,0 days 00:00:37.179000,0 days 00:45:20.196000,0 days 00:46:02.577000,0 days 00:46:39.756000,292.0,264.0,242.0,283.0,True,HARD,7.0,True,Toro Rosso,0 days 00:44:50.769000,2019-09-22 12:24:51.737,1,10.0,False,,False,True
0 days 00:48:29.627000,GAS,10,0 days 00:01:49.857000,8.0,1.0,,,0 days 00:00:29.337000,0 days 00:00:42.958000,0 days 00:00:37.562000,0 days 00:47:09.093000,0 days 00:47:52.051000,0 days 00:48:29.613000,313.0,273.0,243.0,295.0,False,HARD,8.0,True,Toro Rosso,0 days 00:46:39.770000,2019-09-22 12:26:40.738,1,10.0,False,,False,True
0 days 00:50:19.167000,GAS,10,0 days 00:01:49.540000,9.0,1.0,,,0 days 00:00:29.453000,0 days 00:00:42.812000,0 days 00:00:37.275000,0 days 00:48:59.066000,0 days 00:49:41.878000,0 days 00:50:19.153000,309.0,273.0,244.0,284.0,False,HARD,9.0,True,Toro Rosso,0 days 00:48:29.627000,2019-09-22 12:28:30.595,1,10.0,False,,False,True
0 days 00:52:09.248000,GAS,10,0 days 00:01:50.081000,10.0,1.0,,,0 days 00:00:29.242000,0 days 00:00:43.384000,0 days 00:00:37.455000,0 days 00:50:48.395000,0 days 00:51:31.779000,0 days 00:52:09.234000,316.0,261.0,243.0,295.0,False,HARD,10.0,True,Toro Rosso,0 days 00:50:19.167000,2019-09-22 12:30:20.135,1,10.0,False,,False,True
0 days 00:53:58.395000,GAS,10,0 days 00:01:49.147000,11.0,1.0,,,0 days 00:00:29.461000,0 days 00:00:42.309000,0 days 00:00:37.377000,0 days 00:52:38.695000,0 days 00:53:21.004000,0 days 00:53:58.381000,283.0,261.0,246.0,282.0,False,HARD,11.0,True,Toro Rosso,0 days 00:52:09.248000,2019-09-22 12:32:10.216,1,10.0,False,,False,True
0 days 00:55:47.824000,GAS,10,0 days 00:01:49.429000,12.0,1.0,,,0 days 00:00:29.401000,0 days 00:00:42.814000,0 days 00:00:37.214000,0 days 00:54:27.782000,0 days 00:55:10.596000,0 days 00:55:47.810000,308.0,260.0,246.0,285.0,False,HARD,12.0,True,Toro Rosso,0 days 00:53:58.395000,2019-09-22 12:33:59.363,1,10.0,False,,False,True
0 days 00:57:37.818000,GAS,10,0 days 00:01:49.994000,13.0,1.0,,,0 days 00:00:29.513000,0 days 00:00:42.964000,0 days 00:00:37.517000,0 days 00:56:17.323000,0 days 00:57:00.287000,0 days 00:57:37.804000,293.0,261.0,244.0,296.0,False,HARD,13.0,True,Toro Rosso,0 days 00:55:47.824000,2019-09-22 12:35:48.792,1,10.0,False,,False,True
0 days 00:59:27.193000,GAS,10,0 days 00:01:49.375000,14.0,1.0,,,0 days 00:00:29.515000,0 days 00:00:42.404000,0 days 00:00:37.456000,0 days 00:58:07.319000,0 days 00:58:49.723000,0 days 00:59:27.179000,,262.0,245.0,285.0,False,HARD,14.0,True,Toro Rosso,0 days 00:57:37.818000,2019-09-22 12:37:38.786,1,10.0,False,,False,True
0 days 01:01:16.686000,GAS,10,0 days 00:01:49.493000,15.0,1.0,,,0 days 00:00:29.644000,0 days 00:00:42.391000,0 days 00:00:37.458000,0 days 00:59:56.823000,0 days 01:00:39.214000,0 days 01:01:16.672000,292.0,262.0,245.0,282.0,False,HARD,15.0,True,Toro Rosso,0 days 00:59:27.193000,2019-09-22 12:39:28.161,1,10.0,False,,False,True
0 days 01:03:05.647000,GAS,10,0 days 00:01:48.961000,16.0,1.0,,,0 days 00:00:29.451000,0 days 00:00:42.415000,0 days 00:00:37.095000,0 days 01:01:46.123000,0 days 01:02:28.538000,0 days 01:03:05.633000,291.0,264.0,247.0,284.0,True,HARD,16.0,True,Toro Rosso,0 days 01:01:16.686000,2019-09-22 12:41:17.654,1,10.0,False,,False,True
0 days 01:04:54.911000,GAS,10,0 days 00:01:49.264000,17.0,1.0,,,0 days 00:00:29.244000,0 days 00:00:42.735000,0 days 00:00:37.285000,0 days 01:03:34.877000,0 days 01:04:17.612000,0 days 01:04:54.897000,307.0,264.0,245.0,296.0,False,HARD,17.0,True,Toro Rosso,0 days 01:03:05.647000,2019-09-22 12:43:06.615,1,10.0,False,,False,True
0 days 01:06:44.716000,GAS,10,0 days 00:01:49.805000,18.0,1.0,,,0 days 00:00:29.378000,0 days 00:00:42.797000,0 days 00:00:37.630000,0 days 01:05:24.275000,0 days 01:06:07.072000,0 days 01:06:44.702000,313.0,271.0,247.0,285.0,False,HARD,18.0,True,Toro Rosso,0 days 01:04:54.911000,2019-09-22 12:44:55.879,1,9.0,False,,False,True
