X,Y,Number,Letter,Angle,Distance,Type,Rotation
-1087.9032409274578,-3965.4585258385446,1,,-43.26918970945826,454.72217839954527,corners,324.0
-8307.561522466332,-6386.958155513548,2,,-109.82381278609881,1222.3093532049252,corners,324.0
-11895.091066264795,-4887.853858686007,3,,-232.28339322449486,1660.3214812928227,corners,324.0
-11890.805463400999,-8574.953748968239,4,,-14.820345865438867,2085.44909954901,corners,324.0
-15595.89563113212,-10772.025526630518,5,,-104.58440425759093,2524.0543055665985,corners,324.0
-16685.440374643375,-8432.943398181473,6,,-172.0891205660544,2788.846685514945,corners,324.0
-16351.680236542239,-6793.470353102614,7,,-228.85306456101733,2968.2392042540387,corners,324.0
-13573.626984443701,-6301.700293847869,8,,-234.05004756276594,3239.6231889562087,corners,324.0
-13213.528597661436,-5181.064305300679,9,,-350.89868377930986,3416.2688004064994,corners,324.0
-14070.049855042664,-2769.9911348696114,10,,-196.3676377426359,3625.562649636035,corners,324.0
-9877.80092415907,-2166.345102144356,11,,-282.4592219043077,4071.734207216989,corners,324.0
-5514.99633299347,-3679.179920045981,12,,-96.75991307437425,4530.031399413921,corners,324.0
-3352.7188052381844,-3458.1405328119563,13,,-302.0141159534709,4743.5611448433765,corners,324.0
-2791.95047373098,-4400.109173050213,14,,-100.3504081928387,4877.002573014564,corners,324.0
-1142.7696633149617,-2664.46012802478,15,,-333.3235490207743,5119.548867652002,corners,324.0
-1717.3144588536625,-1926.834104295719,16,,-193.04226792223074,5237.360605013942,corners,324.0
187.97220871107947,1009.9383949065004,17,,-252.5210634249024,5569.278856246325,corners,324.0
1643.8673614779,359.92430821156995,18,,-353.1023122769958,5740.218613587367,corners,324.0
1555.7975084099107,-25.31601522150777,1,,-25.580942041499554,5787.361952754314,lights,324.0
-777.9977938767206,-3607.3740427482567,2,,-38.385492522300524,406.6435744296483,lights,324.0
-3887.0600079470764,-5311.813865303499,3,,-75.62459971003761,767.8201760369631,lights,324.0
-7128.953167678445,-6201.966704056083,4,,-72.78903143388783,1094.5455924384337,lights,324.0
-10000.779163484014,-4663.770533994954,5,,-293.3932542837432,1479.555005514183,lights,324.0
-12622.874706286158,-6329.090198671545,6,,-180.34366498578058,1846.274433940323,lights,324.0
-12104.744413727945,-7751.920805253073,7,,-328.59691598968277,1995.3789430651102,lights,324.0
-14592.561455701014,-10389.0556393056,8,,-56.64307633828338,2414.9878584379862,lights,324.0
-16420.932179936997,-9321.073332186354,9,,-157.517767330803,2703.634667975412,lights,324.0
-16697.650865663483,-7769.544425284522,10,,-183.28871794491653,2854.422027053222,lights,324.0
-14276.469688590703,-6503.624208631719,11,,-83.71555078638522,3172.3588804506408,lights,324.0
-13673.530757312881,-4012.6259247235193,12,,-152.7246583128404,3500.170763353261,lights,324.0
-11546.857785232372,-1942.7723656074213,13,,-274.17438913036517,3909.3540195399773,lights,324.0
-7020.639496934674,-3221.4000320904534,14,,-112.07382152725,4382.059516194572,lights,324.0
-4310.30459712616,-3580.1928999959114,15,,-254.43547562135345,4647.011707799434,lights,324.0
-3103.1813462558302,-4207.571993639608,16,,-166.05054906493515,4830.6841771705485,lights,324.0
-1516.2029441205596,-3600.9717183044672,17,,-32.68982779629107,5051.50428821955,lights,324.0
-1522.3957798908832,-2405.160900951505,18,,-123.97781959289566,5168.958801135587,lights,324.0
-193.75042833711632,575.404208745852,19,,-211.43586582790687,5517.017983779253,lights,324.0
1489.1482693319995,592.4261644085127,20,,-304.34742173643036,5720.369911001399,lights,324.0
1287.0000166991122,-414.0000447659968,1,,-19.77433122359389,9.48981805379232,sectors,324.0
-826.2070109804472,-3667.9928401477414,2,,-38.52392007555335,406.6435744296483,sectors,324.0
-3759.3757611428946,-5277.854359274591,3,,-75.15986904121223,742.6678076386256,sectors,324.0
-7107.206345479676,-6195.1835825716535,4,,-72.48502789067231,1094.5455924384337,sectors,324.0
-9984.060424783998,-4671.021580067969,5,,-293.3583500714239,1479.555005514183,sectors,324.0
-12622.515941377927,-6283.532699074666,6,,-179.74883624494998,1846.274433940323,sectors,324.0
-12021.119325047108,-7892.985485309715,7,,-330.86110802653315,2012.6856598008699,sectors,324.0
-14436.327915956152,-10286.668005023883,8,,-56.82105172254944,2393.6382920752967,sectors,324.0
-16483.18994231605,-9169.334074436723,9,,-157.65829081981252,2703.634667975412,sectors,324.0
-16695.669752343812,-7746.851317055008,10,,-185.11082724202825,2854.422027053222,sectors,324.0
-14177.136298489295,-6490.275395519873,11,,-82.26155184987977,3172.3588804506408,sectors,324.0
-13640.656805259867,-4077.686737899112,12,,-153.38699216899226,3500.170763353261,sectors,324.0
-11492.332550102165,-1946.7741112885597,13,,-274.27839608868464,3909.3540195399773,sectors,324.0
-6995.5728300424025,-3232.301237772548,14,,-114.18393470283362,4382.059516194572,sectors,324.0
-4323.461014133092,-3583.896691351006,15,,-254.30262766235617,4647.011707799434,sectors,324.0
-3107.1697635190785,-4194.499031929183,16,,-163.35104010452312,4830.6841771705485,sectors,324.0
-1513.7665233034631,-3597.118900473215,17,,-31.904838488334462,5051.50428821955,sectors,324.0
-1537.37320214795,-2394.773526186573,18,,-126.13511530001225,5168.958801135587,sectors,324.0
-336.7234796563189,337.341988184613,19,,-210.64814204356594,5500.660724953198,sectors,324.0
1492.787790296472,589.7105299226687,20,,-306.70578804909235,5720.369911001399,sectors,324.0
