Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:33.385000,HAM,44,0 days 00:01:35.670000,1.0,1.0,,,,0 days 00:00:32.671000,0 days 00:00:26.100000,,0 days 00:34:07.338000,0 days 00:34:33.532000,270.0,227.0,235.0,239.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,1.0,False,,False,False
0 days 00:36:04.843000,HAM,44,0 days 00:01:31.458000,2.0,1.0,,,0 days 00:00:32.414000,0 days 00:00:32.885000,0 days 00:00:26.159000,0 days 00:35:05.799000,0 days 00:35:38.684000,0 days 00:36:04.843000,268.0,227.0,234.0,280.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 00:34:33.385000,2020-07-19 13:14:33.585,1,1.0,False,,False,True
0 days 00:37:39.759000,HAM,44,0 days 00:01:34.916000,3.0,1.0,,0 days 00:37:38.044000,0 days 00:00:32.579000,0 days 00:00:32.694000,0 days 00:00:29.643000,0 days 00:36:37.422000,0 days 00:37:10.116000,0 days 00:37:39.759000,269.0,225.0,,281.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 00:36:04.843000,2020-07-19 13:16:05.043,1,1.0,False,,False,False
0 days 00:39:33.580000,HAM,44,0 days 00:01:53.821000,4.0,2.0,0 days 00:38:03.240000,,0 days 00:00:55.604000,0 days 00:00:32.267000,0 days 00:00:25.950000,0 days 00:38:35.363000,0 days 00:39:07.630000,0 days 00:39:33.580000,265.0,228.0,242.0,,False,MEDIUM,1.0,True,Mercedes,0 days 00:37:39.759000,2020-07-19 13:17:39.959,2,3.0,False,,False,False
0 days 00:40:59.478000,HAM,44,0 days 00:01:25.898000,5.0,2.0,,,0 days 00:00:32.078000,0 days 00:00:30.551000,0 days 00:00:23.269000,0 days 00:40:05.658000,0 days 00:40:36.209000,0 days 00:40:59.478000,268.0,237.0,249.0,282.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:39:33.580000,2020-07-19 13:19:33.780,2,1.0,False,,False,True
0 days 00:42:23.469000,HAM,44,0 days 00:01:23.991000,6.0,2.0,,,0 days 00:00:30.868000,0 days 00:00:29.899000,0 days 00:00:23.224000,0 days 00:41:30.346000,0 days 00:42:00.245000,0 days 00:42:23.469000,270.0,239.0,248.0,284.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:40:59.478000,2020-07-19 13:20:59.678,1,1.0,False,,False,True
0 days 00:43:46.796000,HAM,44,0 days 00:01:23.327000,7.0,2.0,,,0 days 00:00:30.844000,0 days 00:00:29.482000,0 days 00:00:23.001000,0 days 00:42:54.313000,0 days 00:43:23.795000,0 days 00:43:46.796000,272.0,239.0,248.0,283.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:42:23.469000,2020-07-19 13:22:23.669,1,1.0,False,,False,True
0 days 00:45:08.966000,HAM,44,0 days 00:01:22.170000,8.0,2.0,,,0 days 00:00:30.058000,0 days 00:00:29.108000,0 days 00:00:23.004000,0 days 00:44:16.854000,0 days 00:44:45.962000,0 days 00:45:08.966000,274.0,241.0,249.0,,True,MEDIUM,5.0,True,Mercedes,0 days 00:43:46.796000,2020-07-19 13:23:46.996,1,1.0,False,,False,True
0 days 00:46:31.096000,HAM,44,0 days 00:01:22.130000,9.0,2.0,,,0 days 00:00:29.887000,0 days 00:00:29.350000,0 days 00:00:22.893000,0 days 00:45:38.853000,0 days 00:46:08.203000,0 days 00:46:31.096000,,239.0,249.0,285.0,True,MEDIUM,6.0,True,Mercedes,0 days 00:45:08.966000,2020-07-19 13:25:09.166,1,1.0,False,,False,True
0 days 00:47:52.618000,HAM,44,0 days 00:01:21.522000,10.0,2.0,,,0 days 00:00:29.624000,0 days 00:00:28.925000,0 days 00:00:22.973000,0 days 00:47:00.720000,0 days 00:47:29.645000,0 days 00:47:52.618000,276.0,241.0,247.0,286.0,True,MEDIUM,7.0,True,Mercedes,0 days 00:46:31.096000,2020-07-19 13:26:31.296,1,1.0,False,,False,True
0 days 00:49:14.745000,HAM,44,0 days 00:01:22.127000,11.0,2.0,,,0 days 00:00:29.738000,0 days 00:00:29.268000,0 days 00:00:23.121000,0 days 00:48:22.356000,0 days 00:48:51.624000,0 days 00:49:14.745000,,239.0,247.0,285.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:47:52.618000,2020-07-19 13:27:52.818,1,1.0,False,,False,True
0 days 00:50:36.631000,HAM,44,0 days 00:01:21.886000,12.0,2.0,,,0 days 00:00:29.578000,0 days 00:00:29.269000,0 days 00:00:23.039000,0 days 00:49:44.323000,0 days 00:50:13.592000,0 days 00:50:36.631000,277.0,239.0,246.0,287.0,False,MEDIUM,9.0,True,Mercedes,0 days 00:49:14.745000,2020-07-19 13:29:14.945,1,1.0,False,,False,True
0 days 00:51:58.504000,HAM,44,0 days 00:01:21.873000,13.0,2.0,,,0 days 00:00:29.477000,0 days 00:00:29.238000,0 days 00:00:23.158000,0 days 00:51:06.108000,0 days 00:51:35.346000,0 days 00:51:58.504000,275.0,238.0,246.0,283.0,False,MEDIUM,10.0,True,Mercedes,0 days 00:50:36.631000,2020-07-19 13:30:36.831,1,1.0,False,,False,True
0 days 00:53:20.224000,HAM,44,0 days 00:01:21.720000,14.0,2.0,,,0 days 00:00:29.643000,0 days 00:00:28.979000,0 days 00:00:23.098000,0 days 00:52:28.147000,0 days 00:52:57.126000,0 days 00:53:20.224000,274.0,242.0,246.0,284.0,False,MEDIUM,11.0,True,Mercedes,0 days 00:51:58.504000,2020-07-19 13:31:58.704,1,1.0,False,,False,True
0 days 00:54:41.844000,HAM,44,0 days 00:01:21.620000,15.0,2.0,,,0 days 00:00:29.500000,0 days 00:00:29.020000,0 days 00:00:23.100000,0 days 00:53:49.724000,0 days 00:54:18.744000,0 days 00:54:41.844000,,240.0,246.0,283.0,False,MEDIUM,12.0,True,Mercedes,0 days 00:53:20.224000,2020-07-19 13:33:20.424,1,1.0,False,,False,True
0 days 00:56:03.280000,HAM,44,0 days 00:01:21.436000,16.0,2.0,,,0 days 00:00:29.417000,0 days 00:00:28.918000,0 days 00:00:23.101000,0 days 00:55:11.261000,0 days 00:55:40.179000,0 days 00:56:03.280000,275.0,241.0,246.0,,True,MEDIUM,13.0,True,Mercedes,0 days 00:54:41.844000,2020-07-19 13:34:42.044,1,1.0,False,,False,True
0 days 00:57:25.135000,HAM,44,0 days 00:01:21.855000,17.0,2.0,,,0 days 00:00:29.502000,0 days 00:00:29.278000,0 days 00:00:23.075000,0 days 00:56:32.782000,0 days 00:57:02.060000,0 days 00:57:25.135000,,240.0,246.0,,False,MEDIUM,14.0,True,Mercedes,0 days 00:56:03.280000,2020-07-19 13:36:03.480,1,1.0,False,,False,True
0 days 00:58:46.498000,HAM,44,0 days 00:01:21.363000,18.0,2.0,,,0 days 00:00:29.377000,0 days 00:00:28.742000,0 days 00:00:23.244000,0 days 00:57:54.512000,0 days 00:58:23.254000,0 days 00:58:46.498000,274.0,245.0,246.0,,True,MEDIUM,15.0,True,Mercedes,0 days 00:57:25.135000,2020-07-19 13:37:25.335,1,1.0,False,,False,True
0 days 01:00:08.895000,HAM,44,0 days 00:01:22.397000,19.0,2.0,,,0 days 00:00:29.460000,0 days 00:00:29.353000,0 days 00:00:23.584000,0 days 00:59:15.958000,0 days 00:59:45.311000,0 days 01:00:08.895000,276.0,236.0,246.0,285.0,False,MEDIUM,16.0,True,Mercedes,0 days 00:58:46.498000,2020-07-19 13:38:46.698,1,1.0,False,,False,True
0 days 01:01:30.782000,HAM,44,0 days 00:01:21.887000,20.0,2.0,,,0 days 00:00:29.327000,0 days 00:00:29.271000,0 days 00:00:23.289000,0 days 01:00:38.222000,0 days 01:01:07.493000,0 days 01:01:30.782000,,236.0,245.0,283.0,False,MEDIUM,17.0,True,Mercedes,0 days 01:00:08.895000,2020-07-19 13:40:09.095,1,1.0,False,,False,True
0 days 01:02:52.589000,HAM,44,0 days 00:01:21.807000,21.0,2.0,,,0 days 00:00:29.332000,0 days 00:00:29.068000,0 days 00:00:23.407000,0 days 01:02:00.114000,0 days 01:02:29.182000,0 days 01:02:52.589000,274.0,239.0,245.0,,False,MEDIUM,18.0,True,Mercedes,0 days 01:01:30.782000,2020-07-19 13:41:30.982,1,1.0,False,,False,True
0 days 01:04:14.316000,HAM,44,0 days 00:01:21.727000,22.0,2.0,,,0 days 00:00:29.671000,0 days 00:00:28.954000,0 days 00:00:23.102000,0 days 01:03:22.260000,0 days 01:03:51.214000,0 days 01:04:14.316000,271.0,241.0,246.0,284.0,False,MEDIUM,19.0,True,Mercedes,0 days 01:02:52.589000,2020-07-19 13:42:52.789,1,1.0,False,,False,True
0 days 01:05:36.003000,HAM,44,0 days 00:01:21.687000,23.0,2.0,,,0 days 00:00:29.528000,0 days 00:00:28.912000,0 days 00:00:23.247000,0 days 01:04:43.844000,0 days 01:05:12.756000,0 days 01:05:36.003000,273.0,243.0,245.0,,False,MEDIUM,20.0,True,Mercedes,0 days 01:04:14.316000,2020-07-19 13:44:14.516,1,1.0,False,,False,True
0 days 01:06:57.344000,HAM,44,0 days 00:01:21.341000,24.0,2.0,,,0 days 00:00:29.388000,0 days 00:00:28.796000,0 days 00:00:23.157000,0 days 01:06:05.391000,0 days 01:06:34.187000,0 days 01:06:57.344000,276.0,240.0,247.0,,True,MEDIUM,21.0,True,Mercedes,0 days 01:05:36.003000,2020-07-19 13:45:36.203,1,1.0,False,,False,True
0 days 01:08:19.294000,HAM,44,0 days 00:01:21.950000,25.0,2.0,,,0 days 00:00:29.338000,0 days 00:00:29.062000,0 days 00:00:23.550000,0 days 01:07:26.682000,0 days 01:07:55.744000,0 days 01:08:19.294000,277.0,240.0,245.0,286.0,False,MEDIUM,22.0,True,Mercedes,0 days 01:06:57.344000,2020-07-19 13:46:57.544,1,1.0,False,,False,True
0 days 01:09:40.684000,HAM,44,0 days 00:01:21.390000,26.0,2.0,,,0 days 00:00:29.270000,0 days 00:00:28.937000,0 days 00:00:23.183000,0 days 01:08:48.564000,0 days 01:09:17.501000,0 days 01:09:40.684000,278.0,240.0,246.0,285.0,False,MEDIUM,23.0,True,Mercedes,0 days 01:08:19.294000,2020-07-19 13:48:19.494,1,1.0,False,,False,True
0 days 01:11:02.425000,HAM,44,0 days 00:01:21.741000,27.0,2.0,,,0 days 00:00:29.414000,0 days 00:00:29.259000,0 days 00:00:23.068000,0 days 01:10:10.098000,0 days 01:10:39.357000,0 days 01:11:02.425000,279.0,243.0,246.0,287.0,False,MEDIUM,24.0,True,Mercedes,0 days 01:09:40.684000,2020-07-19 13:49:40.884,1,1.0,False,,False,True
0 days 01:12:23.957000,HAM,44,0 days 00:01:21.532000,28.0,2.0,,,0 days 00:00:29.336000,0 days 00:00:28.976000,0 days 00:00:23.220000,0 days 01:11:31.761000,0 days 01:12:00.737000,0 days 01:12:23.957000,278.0,241.0,247.0,285.0,False,MEDIUM,25.0,True,Mercedes,0 days 01:11:02.425000,2020-07-19 13:51:02.625,1,1.0,False,,False,True
0 days 01:13:45.222000,HAM,44,0 days 00:01:21.265000,29.0,2.0,,,0 days 00:00:29.347000,0 days 00:00:28.874000,0 days 00:00:23.044000,0 days 01:12:53.304000,0 days 01:13:22.178000,0 days 01:13:45.222000,277.0,242.0,247.0,287.0,True,MEDIUM,26.0,True,Mercedes,0 days 01:12:23.957000,2020-07-19 13:52:24.157,1,1.0,False,,False,True
0 days 01:15:06.420000,HAM,44,0 days 00:01:21.198000,30.0,2.0,,,0 days 00:00:29.373000,0 days 00:00:28.826000,0 days 00:00:22.999000,0 days 01:14:14.595000,0 days 01:14:43.421000,0 days 01:15:06.420000,276.0,242.0,247.0,284.0,True,MEDIUM,27.0,True,Mercedes,0 days 01:13:45.222000,2020-07-19 13:53:45.422,1,1.0,False,,False,True
0 days 01:16:27.735000,HAM,44,0 days 00:01:21.315000,31.0,2.0,,,0 days 00:00:29.292000,0 days 00:00:28.992000,0 days 00:00:23.031000,0 days 01:15:35.712000,0 days 01:16:04.704000,0 days 01:16:27.735000,274.0,240.0,247.0,285.0,False,MEDIUM,28.0,True,Mercedes,0 days 01:15:06.420000,2020-07-19 13:55:06.620,1,1.0,False,,False,True
0 days 01:17:49.243000,HAM,44,0 days 00:01:21.508000,32.0,2.0,,,0 days 00:00:29.359000,0 days 00:00:29.074000,0 days 00:00:23.075000,0 days 01:16:57.094000,0 days 01:17:26.168000,0 days 01:17:49.243000,278.0,242.0,248.0,,False,MEDIUM,29.0,True,Mercedes,0 days 01:16:27.735000,2020-07-19 13:56:27.935,1,1.0,False,,False,True
0 days 01:19:10.796000,HAM,44,0 days 00:01:21.553000,33.0,2.0,,,0 days 00:00:29.278000,0 days 00:00:29.030000,0 days 00:00:23.245000,0 days 01:18:18.521000,0 days 01:18:47.551000,0 days 01:19:10.796000,,241.0,250.0,287.0,False,MEDIUM,30.0,True,Mercedes,0 days 01:17:49.243000,2020-07-19 13:57:49.443,1,1.0,False,,False,True
0 days 01:20:32.489000,HAM,44,0 days 00:01:21.693000,34.0,2.0,,,0 days 00:00:29.408000,0 days 00:00:29.058000,0 days 00:00:23.227000,0 days 01:19:40.204000,0 days 01:20:09.262000,0 days 01:20:32.489000,273.0,240.0,248.0,291.0,False,MEDIUM,31.0,True,Mercedes,0 days 01:19:10.796000,2020-07-19 13:59:10.996,1,1.0,False,,False,True
0 days 01:21:56.173000,HAM,44,0 days 00:01:23.684000,35.0,2.0,,,0 days 00:00:29.812000,0 days 00:00:30.548000,0 days 00:00:23.324000,0 days 01:21:02.301000,0 days 01:21:32.849000,0 days 01:21:56.173000,280.0,223.0,247.0,288.0,False,MEDIUM,32.0,True,Mercedes,0 days 01:20:32.489000,2020-07-19 14:00:32.689,1,1.0,False,,False,True
0 days 01:23:17.628000,HAM,44,0 days 00:01:21.455000,36.0,2.0,,,0 days 00:00:29.247000,0 days 00:00:29.126000,0 days 00:00:23.082000,0 days 01:22:25.420000,0 days 01:22:54.546000,0 days 01:23:17.628000,279.0,241.0,250.0,,False,MEDIUM,33.0,True,Mercedes,0 days 01:21:56.173000,2020-07-19 14:01:56.373,1,1.0,False,,False,True
