Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:43.343000,HAM,44,0 days 00:01:25.855000,1.0,1.0,,,,0 days 00:00:31.106000,0 days 00:00:28.380000,,0 days 00:34:14.980000,0 days 00:34:43.510000,268.0,257.0,274.0,276.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,1.0,False,,False,False
0 days 00:36:07.973000,HAM,44,0 days 00:01:24.630000,2.0,1.0,,,0 days 00:00:24.014000,0 days 00:00:31.689000,0 days 00:00:28.927000,0 days 00:35:07.357000,0 days 00:35:39.046000,0 days 00:36:07.973000,261.0,253.0,274.0,294.0,True,SOFT,5.0,False,Mercedes,0 days 00:34:43.343000,2020-08-16 13:14:45.319,1,1.0,False,,False,True
0 days 00:37:33.010000,HAM,44,0 days 00:01:25.037000,3.0,1.0,,,0 days 00:00:24.077000,0 days 00:00:31.973000,0 days 00:00:28.987000,0 days 00:36:32.050000,0 days 00:37:04.023000,0 days 00:37:33.010000,255.0,250.0,271.0,298.0,False,SOFT,6.0,False,Mercedes,0 days 00:36:07.973000,2020-08-16 13:16:09.949,1,1.0,False,,False,True
0 days 00:38:57.689000,HAM,44,0 days 00:01:24.679000,4.0,1.0,,,0 days 00:00:24.060000,0 days 00:00:31.816000,0 days 00:00:28.803000,0 days 00:37:57.070000,0 days 00:38:28.886000,0 days 00:38:57.689000,262.0,266.0,271.0,294.0,False,SOFT,7.0,False,Mercedes,0 days 00:37:33.010000,2020-08-16 13:17:34.986,1,1.0,False,,False,True
0 days 00:40:22.059000,HAM,44,0 days 00:01:24.370000,5.0,1.0,,,0 days 00:00:23.997000,0 days 00:00:31.721000,0 days 00:00:28.652000,0 days 00:39:21.686000,0 days 00:39:53.407000,0 days 00:40:22.059000,258.0,261.0,275.0,298.0,True,SOFT,8.0,False,Mercedes,0 days 00:38:57.689000,2020-08-16 13:18:59.665,1,1.0,False,,False,True
0 days 00:41:46.306000,HAM,44,0 days 00:01:24.247000,6.0,1.0,,,0 days 00:00:23.799000,0 days 00:00:31.812000,0 days 00:00:28.636000,0 days 00:40:45.858000,0 days 00:41:17.670000,0 days 00:41:46.306000,257.0,261.0,274.0,295.0,True,SOFT,9.0,False,Mercedes,0 days 00:40:22.059000,2020-08-16 13:20:24.035,1,1.0,False,,False,True
0 days 00:43:10.584000,HAM,44,0 days 00:01:24.278000,7.0,1.0,,,0 days 00:00:24.077000,0 days 00:00:31.551000,0 days 00:00:28.650000,0 days 00:42:10.383000,0 days 00:42:41.934000,0 days 00:43:10.584000,,247.0,275.0,294.0,False,SOFT,10.0,False,Mercedes,0 days 00:41:46.306000,2020-08-16 13:21:48.282,1,1.0,False,,False,True
0 days 00:44:34.692000,HAM,44,0 days 00:01:24.108000,8.0,1.0,,,0 days 00:00:23.849000,0 days 00:00:31.654000,0 days 00:00:28.605000,0 days 00:43:34.433000,0 days 00:44:06.087000,0 days 00:44:34.692000,265.0,248.0,274.0,297.0,True,SOFT,11.0,False,Mercedes,0 days 00:43:10.584000,2020-08-16 13:23:12.560,1,1.0,False,,False,True
0 days 00:45:59.218000,HAM,44,0 days 00:01:24.526000,9.0,1.0,,,0 days 00:00:23.905000,0 days 00:00:31.714000,0 days 00:00:28.907000,0 days 00:44:58.597000,0 days 00:45:30.311000,0 days 00:45:59.218000,256.0,256.0,275.0,296.0,False,SOFT,12.0,False,Mercedes,0 days 00:44:34.692000,2020-08-16 13:24:36.668,1,1.0,False,,False,True
0 days 00:47:22.836000,HAM,44,0 days 00:01:23.618000,10.0,1.0,,,0 days 00:00:23.701000,0 days 00:00:31.405000,0 days 00:00:28.512000,0 days 00:46:22.919000,0 days 00:46:54.324000,0 days 00:47:22.836000,260.0,259.0,274.0,297.0,True,SOFT,13.0,False,Mercedes,0 days 00:45:59.218000,2020-08-16 13:26:01.194,1,1.0,False,,False,True
