X,Y,Number,Letter,Angle,Distance,Type,Rotation
-2960.7265625,-4260.5556640625,1,,-124.46138229369949,627.5143821995623,corners,327.0
-2634.37353515625,-2487.387451171875,2,,29.084815170335,830.7350326320886,corners,327.0
-4690.2216796875,-2910.337890625,3,,-168.7368079579536,1085.440000474272,corners,327.0
-3856.30078125,-3354.125732421875,4,,49.09480700216158,1179.5638000335048,corners,327.0
-4644.2734375,-8183.140625,5,,-148.47953337116525,1684.7024799437725,corners,327.0
-3572.104248046875,-9135.521484375,6,,-11.478712007260794,1838.6526307696101,corners,327.0
-8064.6611328125,-12769.9482421875,7,,-133.71953282244115,2450.2168168914786,corners,327.0
-5799.12548828125,-9622.5361328125,8,,-6.394632087113873,2851.2746878093462,corners,327.0
-5876.3427734375,-8478.802734375,9,,173.87311440828495,2966.3209574052003,corners,327.0
-4677.0126953125,-4507.01904296875,10,,14.921500007056386,3393.356411897918,corners,327.0
-6295.044921875,-3430.306884765625,11,,-162.97402298639642,3598.069273899563,corners,327.0
-3719.56396484375,-92.44921112060547,12,,124.03142544548348,4027.600260669297,corners,327.0
666.461181640625,1096.2901611328125,13,,-41.8024745863585,4492.256112028074,corners,327.0
747.4179077148438,1437.0936279296875,14,,155.7145517229869,4528.124796321372,corners,327.0
3437.742919921875,1892.5452880859375,15,,32.12937461141505,4825.053406127089,corners,327.0
1731.0,-270.0,1,,-38.48857247049188,5114.189597979484,lights,327.0
-1537.8671875,-3454.9169921875,2,,-48.22756418794996,463.3657025358823,lights,327.0
-3018.037353515625,-4217.751953125,3,,-131.9314741556883,633.5565557719906,lights,327.0
-2827.52294921875,-3414.0458984375,4,,153.2036108359172,721.5756227585142,lights,327.0
-4616.01220703125,-2605.619384765625,5,,144.9254560268122,1049.50921109718,lights,327.0
-4415.1943359375,-3172.3955078125,6,,-106.58094655061785,1122.3269513046585,lights,327.0
-3915.711181640625,-4912.37353515625,7,,-13.08295967202803,1343.2004290883704,lights,327.0
-4764.89208984375,-7833.91650390625,8,,-173.2814602805213,1644.1300553784492,lights,327.0
-3570.332763671875,-9028.4892578125,9,,7.811397050952656,1830.7007208605246,lights,327.0
-6633.640625,-11520.1298828125,10,,-40.94733729753543,2232.185689666528,lights,327.0
-6660.8271484375,-10828.2392578125,11,,-41.944816049369386,2708.5311198583036,lights,327.0
-5792.5830078125,-8143.58447265625,12,,163.17843739629,2999.8218924993594,lights,327.0
-4875.37451171875,-5360.98828125,13,,-19.106147726015827,3311.8885269037205,lights,327.0
-6174.05908203125,-3664.27392578125,14,,-137.9699701359242,3575.375391400405,lights,327.0
-4162.57177734375,-507.0910339355469,15,,138.36020277275924,3975.376104143217,lights,327.0
414.9390563964844,1000.8695678710938,16,,-78.79734648598266,4463.250054793909,lights,327.0
1701.4066162109375,1977.038330078125,17,,99.86440870753303,4633.472000820287,lights,327.0
3285.17822265625,2074.016357421875,18,,48.01209327388697,4800.776540203771,lights,327.0
1904.64697265625,-101.01616668701172,1,,-45.44374738199373,5098.320456816831,sectors,327.0
-1686.720458984375,-3580.580322265625,2,,-50.49782235702074,481.48266880705114,sectors,327.0
-2983.604736328125,-4244.71630859375,3,,-127.76185317827743,627.5143821995623,sectors,327.0
-2807.39111328125,-3375.223388671875,4,,151.4456862479113,721.5756227585142,sectors,327.0
-4651.16064453125,-2663.347900390625,5,,153.10584763319406,1057.4977507207122,sectors,327.0
-4434.28515625,-3166.87255859375,6,,-107.05678150123777,1122.3269513046585,sectors,327.0
-3914.808837890625,-4908.501953125,7,,-13.304077924456069,1343.2004290883704,sectors,327.0
-4743.68115234375,-7620.89453125,8,,169.27794172880382,1629.335290541645,sectors,327.0
-3579.743408203125,-8985.779296875,9,,12.489509243449437,1822.579659436451,sectors,327.0
-6628.4287109375,-11514.125,10,,-41.112049877541104,2232.185689666528,sectors,327.0
-6574.5703125,-10745.884765625,11,,-46.05897068349044,2708.5311198583036,sectors,327.0
-5755.6005859375,-8030.18994140625,12,,161.12110113068636,3016.672389081806,sectors,327.0
-5005.4375,-5736.70166015625,13,,-19.197531492685002,3258.553036083043,sectors,327.0
-6144.66259765625,-3696.66015625,14,,-137.56704946313926,3575.375391400405,sectors,327.0
-4141.4013671875,-483.3511047363281,15,,136.70653371470829,3975.376104143217,sectors,327.0
305.5207824707031,980.7342529296875,16,,-79.20266767263719,4454.057648108084,sectors,327.0
1822.130615234375,2001.7779541015625,17,,99.21067875478117,4645.644638233301,sectors,327.0
3317.512939453125,2044.568603515625,18,,47.576689479510236,4809.290371311208,sectors,327.0
