Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:01:44.049000,GAS,10,0 days 00:01:43.776000,1.0,1.0,,,,0 days 00:00:42.142000,0 days 00:00:25.042000,,0 days 00:01:19.108000,0 days 00:01:44.179000,259.0,218.0,250.0,296.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,13.0,False,,False,False
0 days 00:03:21.960000,GAS,10,0 days 00:01:37.911000,2.0,1.0,,,0 days 00:00:32.788000,0 days 00:00:40.608000,0 days 00:00:24.515000,0 days 00:02:16.824000,0 days 00:02:57.432000,0 days 00:03:21.947000,252.0,222.0,245.0,293.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:01:44.049000,2020-10-11 12:14:58.640,1,14.0,False,,False,True
0 days 00:04:57.450000,GAS,10,0 days 00:01:35.490000,3.0,1.0,,,0 days 00:00:31.382000,0 days 00:00:39.811000,0 days 00:00:24.297000,0 days 00:03:53.329000,0 days 00:04:33.140000,0 days 00:04:57.437000,258.0,221.0,247.0,293.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:03:21.960000,2020-10-11 12:16:36.551,1,14.0,False,,False,True
0 days 00:06:31.945000,GAS,10,0 days 00:01:34.495000,4.0,1.0,,,0 days 00:00:31.024000,0 days 00:00:39.478000,0 days 00:00:23.993000,0 days 00:05:28.461000,0 days 00:06:07.939000,0 days 00:06:31.932000,,221.0,245.0,296.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:04:57.450000,2020-10-11 12:18:12.041,1,14.0,False,,False,True
0 days 00:08:06.112000,GAS,10,0 days 00:01:34.167000,5.0,1.0,,,0 days 00:00:30.961000,0 days 00:00:39.289000,0 days 00:00:23.917000,0 days 00:07:02.893000,0 days 00:07:42.182000,0 days 00:08:06.099000,259.0,222.0,249.0,312.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:06:31.945000,2020-10-11 12:19:46.536,1,14.0,False,,False,True
0 days 00:09:40.505000,GAS,10,0 days 00:01:34.393000,6.0,1.0,,,0 days 00:00:31.007000,0 days 00:00:39.372000,0 days 00:00:24.014000,0 days 00:08:37.106000,0 days 00:09:16.478000,0 days 00:09:40.492000,258.0,218.0,253.0,313.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:08:06.112000,2020-10-11 12:21:20.703,1,14.0,False,,False,True
0 days 00:11:14.838000,GAS,10,0 days 00:01:34.333000,7.0,1.0,,,0 days 00:00:31.068000,0 days 00:00:39.470000,0 days 00:00:23.795000,0 days 00:10:11.560000,0 days 00:10:51.030000,0 days 00:11:14.825000,256.0,223.0,254.0,314.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:09:40.505000,2020-10-11 12:22:55.096,1,14.0,False,,False,True
0 days 00:12:49.555000,GAS,10,0 days 00:01:34.717000,8.0,1.0,,,0 days 00:00:31.191000,0 days 00:00:39.574000,0 days 00:00:23.952000,0 days 00:11:46.016000,0 days 00:12:25.590000,0 days 00:12:49.542000,255.0,221.0,253.0,317.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:11:14.838000,2020-10-11 12:24:29.429,1,13.0,False,,False,True
0 days 00:14:24.274000,GAS,10,0 days 00:01:34.719000,9.0,1.0,,,0 days 00:00:31.030000,0 days 00:00:39.697000,0 days 00:00:23.992000,0 days 00:13:20.572000,0 days 00:14:00.269000,0 days 00:14:24.261000,259.0,220.0,253.0,315.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 00:12:49.555000,2020-10-11 12:26:04.146,1,13.0,False,,False,True
0 days 00:15:59.091000,GAS,10,0 days 00:01:34.817000,10.0,1.0,,,0 days 00:00:31.365000,0 days 00:00:39.486000,0 days 00:00:23.966000,0 days 00:14:55.626000,0 days 00:15:35.112000,0 days 00:15:59.078000,,221.0,253.0,314.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:14:24.274000,2020-10-11 12:27:38.865,1,13.0,False,,False,True
0 days 00:17:34.643000,GAS,10,0 days 00:01:35.552000,11.0,1.0,,,0 days 00:00:31.838000,0 days 00:00:39.525000,0 days 00:00:24.189000,0 days 00:16:30.916000,0 days 00:17:10.441000,0 days 00:17:34.630000,254.0,223.0,248.0,289.0,False,MEDIUM,11.0,True,AlphaTauri,0 days 00:15:59.091000,2020-10-11 12:29:13.682,1,10.0,True,TRACK LIMITS AT TURN 4,False,True
0 days 00:19:08.340000,GAS,10,0 days 00:01:33.697000,12.0,1.0,,,0 days 00:00:30.533000,0 days 00:00:39.078000,0 days 00:00:24.086000,0 days 00:18:05.163000,0 days 00:18:44.241000,0 days 00:19:08.327000,260.0,219.0,247.0,290.0,True,MEDIUM,12.0,True,AlphaTauri,0 days 00:17:34.643000,2020-10-11 12:30:49.234,1,10.0,False,,False,True
0 days 00:20:42.500000,GAS,10,0 days 00:01:34.160000,13.0,1.0,,,0 days 00:00:30.506000,0 days 00:00:39.342000,0 days 00:00:24.312000,0 days 00:19:38.833000,0 days 00:20:18.175000,0 days 00:20:42.487000,258.0,222.0,251.0,311.0,False,MEDIUM,13.0,True,AlphaTauri,0 days 00:19:08.340000,2020-10-11 12:32:22.931,2,10.0,False,,False,True
0 days 00:22:15.732000,GAS,10,0 days 00:01:33.232000,14.0,1.0,,,0 days 00:00:30.142000,0 days 00:00:38.983000,0 days 00:00:24.107000,0 days 00:21:12.629000,0 days 00:21:51.612000,0 days 00:22:15.719000,256.0,222.0,246.0,288.0,True,MEDIUM,14.0,True,AlphaTauri,0 days 00:20:42.500000,2020-10-11 12:33:57.091,1,9.0,False,,False,True
