X,Y,Number,Letter,Angle,Distance,Type,Rotation
42.40593929993702,8329.202564224179,1,,-246.61531114606282,723.8065270862546,corners,92.0
820.7816212551479,7879.043840540197,2,,-101.17746928558444,826.2219641915117,corners,92.0
1912.969997301606,8065.44216673751,3,,-261.39456176357044,929.171710961644,corners,92.0
7487.745292571566,6790.71071569364,4,,-349.5990658655476,1517.7427923821817,corners,92.0
5820.228442599813,4860.740936217904,5,,-211.50159707799352,1787.5611537031782,corners,92.0
5180.404120509692,4214.598861214608,6,,-76.37444237537011,1881.7202538930942,corners,92.0
4276.202937249183,4156.240630824386,7,,-258.95337199513926,1982.036549430243,corners,92.0
2490.099010685538,2458.6003965290042,8,,-114.65430945303928,2238.4606265806524,corners,92.0
2711.1552878922835,5950.242339493996,9,,-344.90795562972295,2606.0785526182267,corners,92.0
2100.132715648695,6613.999850943207,10,,-270.0220000651102,2704.269592253788,corners,92.0
2120.9852205176358,-663.9950720811103,11,,-100.99967138579512,3476.096143404905,corners,92.0
4981.251161545602,1603.7476220625608,12,,-272.81282353019,3886.1069869220864,corners,92.0
6665.934072283377,449.2756371061455,13,,-358.727848261899,4098.03897682839,corners,92.0
-145.4124578081196,-3472.8085483980503,14,,-110.52153187970453,4905.444970340821,corners,92.0
-552.8126057447134,-2803.66625094119,15,,-169.0619991685993,4998.674245487978,corners,92.0
-403.03000998500465,819.261164974045,1,,-182.6367112829576,5358.58547878413,lights,92.0
-170.99778031790402,6888.075335027975,2,,-181.62051591776688,564.3367024104232,lights,92.0
2091.793057829815,8069.873587855994,3,,-92.04195818622748,956.6049266912851,lights,92.0
6028.332907666913,7353.740539870238,4,,-280.46599516994286,1348.6777600223606,lights,92.0
6384.228519856786,5548.195860866325,5,,-229.17180464747236,1700.1020464502235,lights,92.0
5401.364201039349,4328.365400774586,6,,-58.41295795206747,1857.069618609517,lights,92.0
3886.937743331719,3990.0705223072882,7,,-238.91245254314452,2024.4110124477427,lights,92.0
2977.381909185059,2780.529066116038,8,,-35.812902111054086,2177.141367228966,lights,92.0
2422.170415177221,3733.4396247471527,9,,-192.41766840369243,2378.2841858255524,lights,92.0
2747.081713271386,5711.158081938169,10,,-353.83327954835346,2576.8217734475043,lights,92.0
1949.4701021690014,6521.582002552494,11,,-214.74896784295356,2723.856902659242,lights,92.0
1520.8298997239015,383.5089041876711,12,,-181.78686469600183,3345.460092514807,lights,92.0
3059.362994921191,-227.62231451181333,13,,-40.069300984325935,3593.629830166372,lights,92.0
3622.008522268789,852.9589001229974,14,,-205.6135075941714,3710.8684159381373,lights,92.0
6222.549043997545,1091.2384305516446,15,,-297.1567728734184,4013.27782124444,lights,92.0
5396.067390780536,-632.0962632961691,16,,-63.18342342055837,4279.805656626043,lights,92.0
1241.7943976307283,-2937.0449851141466,17,,-61.13013350607116,4760.21921832925,lights,92.0
-565.125813434976,-2116.9214344282173,18,,-182.79352242222498,5062.437055448735,lights,92.0
-393.18516682077734,1019.2457202941487,1,,-183.0193522317992,5375.797995909344,sectors,92.0
-175.14318122269333,6721.273251192856,2,,-181.66119035347916,546.2979818847599,sectors,92.0
2029.2699640665694,8072.488918922307,3,,-92.26309259790793,942.6984067913,sectors,92.0
5938.043810050906,7370.224849062551,4,,-280.3649430533857,1348.6777600223606,sectors,92.0
6513.70075718814,5653.428139987438,5,,-232.0687219607804,1686.425424440451,sectors,92.0
5440.095702712174,4352.899291471682,6,,-48.64079641349707,1857.069618609517,sectors,92.0
3821.9524501325113,3945.006672204502,7,,-231.59160600099403,2024.4110124477427,sectors,92.0
2911.010730493452,2694.7684765991303,8,,-39.20325400614672,2186.147328084303,sectors,92.0
2442.776275183394,3827.134557864317,9,,-191.0153709566126,2390.835999950066,sectors,92.0
2738.529117390359,5781.550810709912,10,,-352.99822736448704,2591.906877290576,sectors,92.0
1949.4775333144244,6521.591324302724,11,,-212.61674325961508,2723.856902659242,sectors,92.0
1517.9999047156216,158.3593602877404,12,,-179.82846090152225,3359.9994415339806,sectors,92.0
3148.505677394127,-112.14799183818741,13,,-34.68452563647804,3607.4727686741608,sectors,92.0
3614.7748700455236,837.9162998259405,14,,-205.63886118048757,3710.8684159381373,sectors,92.0
6110.804921443389,1147.5976263942807,15,,-296.589707129005,3999.992337053571,sectors,92.0
5307.27870034297,-678.3114166110222,16,,-61.88621689972388,4294.109492607818,sectors,92.0
1046.0055701188567,-3048.4253521873234,17,,-60.88207277098843,4777.570751708519,sectors,92.0
-564.9093331818426,-2112.755204310328,18,,-183.19816335548714,5062.437055448735,sectors,92.0
