Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:28.338000,HAM,44,0 days 00:02:05.599000,1.0,1.0,,,,0 days 00:00:40.610000,0 days 00:00:52.926000,,0 days 01:03:35.454000,0 days 01:04:28.505000,299.0,160.0,88.0,132.0,False,MEDIUM,2.0,False,Mercedes,0 days 01:02:22.559000,2021-07-18 14:03:22.569,24,3.0,False,,False,False
0 days 01:07:06.540000,HAM,44,,2.0,1.0,,0 days 01:07:00.518000,0 days 00:00:43.800000,0 days 00:01:10.685000,0 days 00:00:43.657000,0 days 01:05:12.240000,0 days 01:06:22.942000,0 days 01:07:06.668000,151.0,112.0,,151.0,False,MEDIUM,3.0,False,Mercedes,0 days 01:04:28.338000,2021-07-18 14:05:28.348,45,2.0,False,,False,False
0 days 01:44:15.676000,HAM,44,,3.0,2.0,0 days 01:41:08.889000,,,0 days 00:01:15.154000,0 days 00:01:08.446000,,0 days 01:43:07.272000,0 days 01:44:15.843000,109.0,127.0,64.0,173.0,False,MEDIUM,1.0,False,Mercedes,0 days 01:41:00.104000,2021-07-18 14:42:00.114,1,2.0,False,,False,False
0 days 01:46:52.892000,HAM,44,,4.0,2.0,,,0 days 00:01:33.760000,0 days 00:00:37.907000,0 days 00:00:25.599000,0 days 01:45:49.468000,0 days 01:46:27.674000,0 days 01:46:53.076000,296.0,255.0,249.0,309.0,False,MEDIUM,2.0,False,Mercedes,0 days 01:44:15.676000,2021-07-18 14:45:15.686,2,2.0,False,,False,False
0 days 01:48:25.941000,HAM,44,0 days 00:01:33.049000,5.0,2.0,,,0 days 00:00:29.390000,0 days 00:00:38.032000,0 days 00:00:25.627000,0 days 01:47:22.324000,0 days 01:48:00.356000,0 days 01:48:25.983000,288.0,254.0,249.0,302.0,True,MEDIUM,3.0,False,Mercedes,0 days 01:46:52.892000,2021-07-18 14:47:52.902,1,2.0,False,,False,True
0 days 01:49:59.054000,HAM,44,0 days 00:01:33.113000,6.0,2.0,,,0 days 00:00:29.523000,0 days 00:00:38.109000,0 days 00:00:25.481000,0 days 01:48:55.506000,0 days 01:49:33.615000,0 days 01:49:59.096000,292.0,254.0,249.0,302.0,False,MEDIUM,4.0,False,Mercedes,0 days 01:48:25.941000,2021-07-18 14:49:25.951,1,2.0,False,,False,True
0 days 01:51:31.792000,HAM,44,0 days 00:01:32.738000,7.0,2.0,,,0 days 00:00:29.324000,0 days 00:00:37.952000,0 days 00:00:25.462000,0 days 01:50:28.420000,0 days 01:51:06.372000,0 days 01:51:31.834000,295.0,255.0,249.0,303.0,True,MEDIUM,5.0,False,Mercedes,0 days 01:49:59.054000,2021-07-18 14:50:59.064,1,2.0,False,,False,True
0 days 01:53:04.720000,HAM,44,0 days 00:01:32.928000,8.0,2.0,,,0 days 00:00:29.426000,0 days 00:00:37.924000,0 days 00:00:25.578000,0 days 01:52:01.260000,0 days 01:52:39.184000,0 days 01:53:04.762000,296.0,255.0,249.0,305.0,False,MEDIUM,6.0,False,Mercedes,0 days 01:51:31.792000,2021-07-18 14:52:31.802,1,2.0,False,,False,True
0 days 01:54:37.733000,HAM,44,0 days 00:01:33.013000,9.0,2.0,,,0 days 00:00:29.525000,0 days 00:00:37.892000,0 days 00:00:25.596000,0 days 01:53:34.287000,0 days 01:54:12.179000,0 days 01:54:37.775000,297.0,258.0,247.0,306.0,False,MEDIUM,7.0,False,Mercedes,0 days 01:53:04.720000,2021-07-18 14:54:04.730,1,2.0,False,,False,True
0 days 01:56:11.191000,HAM,44,0 days 00:01:33.458000,10.0,2.0,,,0 days 00:00:29.541000,0 days 00:00:38.108000,0 days 00:00:25.809000,0 days 01:55:07.316000,0 days 01:55:45.424000,0 days 01:56:11.233000,295.0,257.0,246.0,305.0,False,MEDIUM,8.0,False,Mercedes,0 days 01:54:37.733000,2021-07-18 14:55:37.743,1,2.0,False,,False,True
