Driver,Lap,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
VER,1,2021-08-29 16:17:00.305,3724,0,1,0,False,1,car,0 days 00:00:00.063000,0 days 04:15:59.178000
VER,1,2021-08-29 16:17:00.545,3487,0,1,0,False,1,car,0 days 00:00:00.303000,0 days 04:15:59.418000
VER,1,2021-08-29 16:17:00.785,3719,0,1,0,False,1,car,0 days 00:00:00.543000,0 days 04:15:59.658000
VER,1,2021-08-29 16:17:01.025,3589,0,1,0,False,1,car,0 days 00:00:00.783000,0 days 04:15:59.898000
VER,1,2021-08-29 16:17:01.265,3567,0,1,0,False,1,car,0 days 00:00:01.023000,0 days 04:16:00.138000
VER,1,2021-08-29 16:17:01.505,3737,0,1,0,False,1,car,0 days 00:00:01.263000,0 days 04:16:00.378000
VER,1,2021-08-29 16:17:01.785,3605,0,1,0,False,1,car,0 days 00:00:01.543000,0 days 04:16:00.658000
VER,1,2021-08-29 16:17:02.025,3740,0,1,0,False,1,car,0 days 00:00:01.783000,0 days 04:16:00.898000
VER,1,2021-08-29 16:17:02.265,3633,0,1,0,False,1,car,0 days 00:00:02.023000,0 days 04:16:01.138000
VER,1,2021-08-29 16:17:02.505,3304,0,1,0,False,1,car,0 days 00:00:02.263000,0 days 04:16:01.378000
VER,1,2021-08-29 16:17:02.745,3022,0,1,0,False,1,car,0 days 00:00:02.503000,0 days 04:16:01.618000
VER,1,2021-08-29 16:17:02.985,3419,0,1,0,False,1,car,0 days 00:00:02.743000,0 days 04:16:01.858000
VER,1,2021-08-29 16:17:03.186,3408,3,1,0,False,1,car,0 days 00:00:02.944000,0 days 04:16:02.059000
VER,1,2021-08-29 16:17:03.466,3535,5,1,0,False,1,car,0 days 00:00:03.224000,0 days 04:16:02.339000
VER,1,2021-08-29 16:17:03.706,3053,7,1,0,False,1,car,0 days 00:00:03.464000,0 days 04:16:02.579000
VER,1,2021-08-29 16:17:03.946,3408,9,1,0,False,1,car,0 days 00:00:03.704000,0 days 04:16:02.819000
VER,1,2021-08-29 16:17:04.186,3350,12,1,0,False,1,car,0 days 00:00:03.944000,0 days 04:16:03.059000
VER,1,2021-08-29 16:17:04.426,2444,15,1,0,False,1,car,0 days 00:00:04.184000,0 days 04:16:03.299000
VER,1,2021-08-29 16:17:04.666,2636,19,1,0,False,1,car,0 days 00:00:04.424000,0 days 04:16:03.539000
VER,1,2021-08-29 16:17:04.906,2552,22,1,11,False,1,car,0 days 00:00:04.664000,0 days 04:16:03.779000
VER,1,2021-08-29 16:17:05.146,3109,26,1,17,False,1,car,0 days 00:00:04.904000,0 days 04:16:04.019000
VER,1,2021-08-29 16:17:05.386,3714,34,1,19,False,1,car,0 days 00:00:05.144000,0 days 04:16:04.259000
VER,1,2021-08-29 16:17:05.626,4971,40,1,25,False,1,car,0 days 00:00:05.384000,0 days 04:16:04.499000
VER,1,2021-08-29 16:17:05.866,5780,49,1,30,False,1,car,0 days 00:00:05.624000,0 days 04:16:04.739000
VER,1,2021-08-29 16:17:06.105,7278,53,1,35,False,1,car,0 days 00:00:05.863000,0 days 04:16:04.978000
VER,1,2021-08-29 16:17:06.345,8215,58,1,37,False,1,car,0 days 00:00:06.103000,0 days 04:16:05.218000
VER,1,2021-08-29 16:17:06.585,9335,63,1,25,False,1,car,0 days 00:00:06.343000,0 days 04:16:05.458000
VER,1,2021-08-29 16:17:06.825,7655,63,1,0,False,1,car,0 days 00:00:06.583000,0 days 04:16:05.698000
VER,1,2021-08-29 16:17:07.065,6470,59,1,0,False,1,car,0 days 00:00:06.823000,0 days 04:16:05.938000
