Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 01:05:20.560000,2,Yellow
0 days 01:05:38.804000,1,AllClear
0 days 02:22:19.389000,2,Yellow
0 days 02:22:20.695000,1,AllClear
0 days 02:22:23.311000,2,Yellow
0 days 02:22:28.703000,1,AllClear
0 days 02:23:48.889000,2,Yellow
0 days 02:23:56.244000,1,AllClear
0 days 02:24:03.459000,2,Yellow
0 days 02:24:07.039000,1,AllClear
0 days 02:28:34.381000,2,Yellow
0 days 02:28:39.190000,1,AllClear
0 days 02:28:52.985000,2,Yellow
0 days 02:29:16.753000,1,AllClear
0 days 02:29:40.179000,2,Yellow
0 days 02:30:01.080000,1,AllClear
