Time,Status,Message
0 days 00:00:00,2,Yellow
0 days 00:06:29.703000,1,AllClear
0 days 00:33:30.711000,2,Yellow
0 days 00:33:40.018000,1,AllClear
0 days 01:02:34.600000,2,Yellow
0 days 01:02:38.755000,1,AllClear
0 days 01:03:41.022000,2,Yellow
0 days 01:03:53.827000,1,AllClear
0 days 01:04:35.505000,2,Yellow
0 days 01:04:40.746000,1,AllClear
0 days 01:37:09.369000,2,Yellow
0 days 01:37:15.408000,1,AllClear
0 days 02:00:43.862000,2,Yellow
0 days 02:00:47.732000,1,AllClear
0 days 02:01:14.067000,2,Yellow
0 days 02:01:15.601000,1,AllClear
