Time,Status,Message
0 days 00:00:03.111000,2,Yellow
0 days 00:03:52.277000,1,AllClear
0 days 00:03:59.214000,2,Yellow
0 days 00:04:01.194000,1,AllClear
0 days 00:04:05.123000,2,Yellow
0 days 00:04:07.302000,1,AllClear
0 days 00:04:15.014000,2,Yellow
0 days 00:04:16.350000,1,AllClear
0 days 00:04:18.118000,2,Yellow
0 days 00:04:20.445000,1,AllClear
0 days 00:04:32.642000,2,Yellow
0 days 00:04:34.814000,1,AllClear
0 days 01:00:55.060000,2,Yellow
0 days 01:00:56.400000,1,AllClear
0 days 01:51:29.252000,2,Yellow
0 days 01:51:51.290000,1,AllClear
0 days 01:52:03.476000,2,Yellow
0 days 01:52:14.727000,1,AllClear
0 days 02:16:44.912000,2,Yellow
0 days 02:16:52.398000,1,AllClear
0 days 02:16:53.692000,2,Yellow
0 days 02:17:00.909000,1,AllClear
0 days 02:19:19.105000,2,Yellow
0 days 02:19:21.483000,1,AllClear
0 days 02:23:09.971000,6,VSCDeployed
0 days 02:25:47.258000,7,VSCEnding
0 days 02:25:59.667000,1,AllClear
