Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:01:46.583000,2,Yellow
0 days 00:11:00.955000,1,AllClear
0 days 00:24:06.423000,2,Yellow
0 days 00:31:02.766000,1,AllClear
0 days 01:27:06.240000,2,Yellow
0 days 01:27:32.923000,6,VSCDeployed
0 days 01:27:51.962000,4,SCDeployed
0 days 01:38:40.471000,1,AllClear
0 days 02:05:13.559000,2,Yellow
0 days 02:06:20.738000,6,VSCDeployed
0 days 02:11:24.173000,7,VSCEnding
0 days 02:11:36.808000,1,AllClear
0 days 02:23:32.259000,2,Yellow
0 days 02:23:39.541000,1,AllClear
0 days 02:23:40.529000,2,Yellow
0 days 02:23:48.232000,1,AllClear
0 days 02:24:12.424000,2,Yellow
