Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:54.806000,VER,1,0 days 00:01:51.307000,1.0,1.0,,,,0 days 00:00:31.809000,0 days 00:00:46.739000,,0 days 01:03:08.081000,0 days 01:03:54.871000,196.0,243.0,195.0,100.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:02:03.225000,2022-04-24 13:03:03.238,24,1.0,False,,False,False
0 days 01:06:20.801000,VER,1,0 days 00:02:25.995000,2.0,1.0,,,0 days 00:00:54.085000,0 days 00:00:47.410000,0 days 00:00:44.500000,0 days 01:04:48.891000,0 days 01:05:36.301000,0 days 01:06:20.801000,171.0,145.0,194.0,133.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:03:54.806000,2022-04-24 13:04:54.819,4,1.0,False,,False,False
0 days 01:08:37.301000,VER,1,0 days 00:02:16.500000,3.0,1.0,,,0 days 00:00:45.833000,0 days 00:00:46.168000,0 days 00:00:44.499000,0 days 01:07:06.634000,0 days 01:07:52.802000,0 days 01:08:37.301000,,160.0,199.0,164.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 01:06:20.801000,2022-04-24 13:07:20.814,4,1.0,False,,False,False
0 days 01:11:04.728000,VER,1,0 days 00:02:27.427000,4.0,1.0,,,0 days 00:00:42.546000,0 days 00:00:48.335000,0 days 00:00:56.546000,0 days 01:09:19.847000,0 days 01:10:08.182000,0 days 01:11:04.728000,176.0,90.0,264.0,101.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 01:08:37.301000,2022-04-24 13:09:37.314,4,1.0,False,,False,False
0 days 01:12:36.178000,VER,1,0 days 00:01:31.450000,5.0,1.0,,,0 days 00:00:29.619000,0 days 00:00:30.801000,0 days 00:00:31.030000,0 days 01:11:34.347000,0 days 01:12:05.148000,0 days 01:12:36.178000,198.0,246.0,265.0,273.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 01:11:04.728000,2022-04-24 13:12:04.741,1,1.0,False,,False,False
0 days 01:14:06.622000,VER,1,0 days 00:01:30.444000,6.0,1.0,,,0 days 00:00:28.916000,0 days 00:00:30.794000,0 days 00:00:30.734000,0 days 01:13:05.094000,0 days 01:13:35.888000,0 days 01:14:06.622000,202.0,245.0,264.0,259.0,True,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 01:12:36.178000,2022-04-24 13:13:36.191,1,1.0,False,,False,True
0 days 01:15:36.741000,VER,1,0 days 00:01:30.119000,7.0,1.0,,,0 days 00:00:28.780000,0 days 00:00:30.578000,0 days 00:00:30.761000,0 days 01:14:35.402000,0 days 01:15:05.980000,0 days 01:15:36.741000,203.0,245.0,265.0,274.0,True,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 01:14:06.622000,2022-04-24 13:15:06.635,1,1.0,False,,False,True
0 days 01:17:06.918000,VER,1,0 days 00:01:30.177000,8.0,1.0,,,0 days 00:00:28.711000,0 days 00:00:30.861000,0 days 00:00:30.605000,0 days 01:16:05.452000,0 days 01:16:36.313000,0 days 01:17:06.918000,,245.0,266.0,274.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 01:15:36.741000,2022-04-24 13:16:36.754,1,1.0,False,,False,True
0 days 01:18:36.835000,VER,1,0 days 00:01:29.917000,9.0,1.0,,,0 days 00:00:28.558000,0 days 00:00:30.752000,0 days 00:00:30.607000,0 days 01:17:35.476000,0 days 01:18:06.228000,0 days 01:18:36.835000,204.0,246.0,266.0,279.0,True,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 01:17:06.918000,2022-04-24 13:18:06.931,1,1.0,False,,False,True
0 days 01:20:07.186000,VER,1,0 days 00:01:30.351000,10.0,1.0,,,0 days 00:00:28.502000,0 days 00:00:30.986000,0 days 00:00:30.863000,0 days 01:19:05.337000,0 days 01:19:36.323000,0 days 01:20:07.186000,205.0,245.0,264.0,278.0,False,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 01:18:36.835000,2022-04-24 13:19:36.848,1,1.0,False,,False,True
0 days 01:21:37.525000,VER,1,0 days 00:01:30.339000,11.0,1.0,,,0 days 00:00:28.559000,0 days 00:00:31.020000,0 days 00:00:30.760000,0 days 01:20:35.745000,0 days 01:21:06.765000,0 days 01:21:37.525000,,245.0,264.0,277.0,False,INTERMEDIATE,11.0,True,Red Bull Racing,0 days 01:20:07.186000,2022-04-24 13:21:07.199,1,1.0,False,,False,True
0 days 01:23:08.494000,VER,1,0 days 00:01:30.969000,12.0,1.0,,,0 days 00:00:28.740000,0 days 00:00:31.237000,0 days 00:00:30.992000,0 days 01:22:06.265000,0 days 01:22:37.502000,0 days 01:23:08.494000,202.0,245.0,265.0,280.0,False,INTERMEDIATE,12.0,True,Red Bull Racing,0 days 01:21:37.525000,2022-04-24 13:22:37.538,1,1.0,False,,False,True
0 days 01:24:39.819000,VER,1,0 days 00:01:31.325000,13.0,1.0,,,0 days 00:00:28.837000,0 days 00:00:31.266000,0 days 00:00:31.222000,0 days 01:23:37.331000,0 days 01:24:08.597000,0 days 01:24:39.819000,,245.0,265.0,272.0,False,INTERMEDIATE,13.0,True,Red Bull Racing,0 days 01:23:08.494000,2022-04-24 13:24:08.507,1,1.0,False,,False,True
0 days 01:26:11.708000,VER,1,0 days 00:01:31.889000,14.0,1.0,,,0 days 00:00:28.845000,0 days 00:00:31.514000,0 days 00:00:31.530000,0 days 01:25:08.664000,0 days 01:25:40.178000,0 days 01:26:11.708000,203.0,242.0,265.0,276.0,False,INTERMEDIATE,14.0,True,Red Bull Racing,0 days 01:24:39.819000,2022-04-24 13:25:39.832,1,1.0,False,,False,True
0 days 01:27:43.747000,VER,1,0 days 00:01:32.039000,15.0,1.0,,,0 days 00:00:28.888000,0 days 00:00:31.641000,0 days 00:00:31.510000,0 days 01:26:40.596000,0 days 01:27:12.237000,0 days 01:27:43.747000,199.0,242.0,265.0,274.0,False,INTERMEDIATE,15.0,True,Red Bull Racing,0 days 01:26:11.708000,2022-04-24 13:27:11.721,1,1.0,False,,False,True
0 days 01:29:15.819000,VER,1,0 days 00:01:32.072000,16.0,1.0,,,0 days 00:00:28.982000,0 days 00:00:31.717000,0 days 00:00:31.373000,0 days 01:28:12.729000,0 days 01:28:44.446000,0 days 01:29:15.819000,201.0,242.0,266.0,278.0,False,INTERMEDIATE,16.0,True,Red Bull Racing,0 days 01:27:43.747000,2022-04-24 13:28:43.760,1,1.0,False,,False,True
0 days 01:30:47.898000,VER,1,0 days 00:01:32.079000,17.0,1.0,,,0 days 00:00:29.012000,0 days 00:00:31.685000,0 days 00:00:31.382000,0 days 01:29:44.831000,0 days 01:30:16.516000,0 days 01:30:47.898000,191.0,244.0,266.0,275.0,False,INTERMEDIATE,17.0,True,Red Bull Racing,0 days 01:29:15.819000,2022-04-24 13:30:15.832,1,1.0,False,,False,True
0 days 01:32:19.338000,VER,1,0 days 00:01:31.440000,18.0,1.0,,,0 days 00:00:28.901000,0 days 00:00:31.523000,0 days 00:00:31.016000,0 days 01:31:16.799000,0 days 01:31:48.322000,0 days 01:32:19.338000,199.0,245.0,267.0,279.0,False,INTERMEDIATE,18.0,True,Red Bull Racing,0 days 01:30:47.898000,2022-04-24 13:31:47.911,1,1.0,False,,False,True
