Time,Status,Message
0 days 00:00:03.133000,2,Yellow
0 days 00:00:12.284000,1,AllClear
0 days 00:00:14.876000,2,Yellow
0 days 00:11:48.278000,1,AllClear
0 days 00:20:40.673000,2,Yellow
0 days 00:21:07.849000,1,AllClear
0 days 00:51:37.173000,2,Yellow
0 days 00:51:43.773000,1,AllClear
0 days 00:51:47.484000,2,Yellow
0 days 00:52:07.769000,1,AllClear
0 days 00:52:14.690000,2,Yellow
0 days 00:52:24.748000,1,AllClear
0 days 01:18:10.247000,2,Yellow
0 days 01:19:09.213000,6,VSCDeployed
0 days 01:21:06.431000,7,VSCEnding
0 days 01:21:20.621000,1,AllClear
0 days 01:26:26.185000,2,Yellow
0 days 01:26:32.065000,1,AllClear
0 days 02:02:45.972000,2,Yellow
0 days 02:03:22.133000,6,VSCDeployed
0 days 02:07:27.871000,7,VSCEnding
0 days 02:07:40.908000,1,AllClear
0 days 02:38:28.902000,2,Yellow
