Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:15:20.751000,2,Yellow
0 days 00:15:23.161000,1,AllClear
0 days 00:15:24.861000,2,Yellow
0 days 00:15:27.740000,1,AllClear
0 days 00:43:42.474000,2,Yellow
0 days 00:43:57.738000,1,AllClear
0 days 01:11:55.277000,2,Yellow
0 days 01:12:15.584000,4,SCDeployed
0 days 01:18:02.505000,1,AllClear
0 days 01:21:18.845000,2,Yellow
0 days 01:21:37,1,AllClear
0 days 01:47:01.605000,2,Yellow
0 days 01:47:07.661000,1,AllClear
0 days 02:05:04.377000,2,Yellow
0 days 02:05:47.311000,6,VSCDeployed
0 days 02:06:45.700000,7,VSCEnding
0 days 02:07:44.438000,1,AllClear
