Time,Status,Message
0 days 00:00:00,2,Yellow
0 days 00:04:16.015000,1,AllClear
0 days 01:02:47.449000,2,Yellow
0 days 01:03:00.518000,1,AllClear
0 days 01:03:35.598000,6,VSCDeployed
0 days 01:05:42.914000,7,VSCEnding
0 days 01:05:53.098000,1,AllClear
0 days 01:51:41.509000,2,Yellow
0 days 01:51:56.165000,1,AllClear
0 days 02:00:44.321000,2,Yellow
0 days 02:00:46.696000,1,AllClear
0 days 02:09:19.027000,2,Yellow
0 days 02:09:21.966000,1,AllClear
0 days 02:09:26.516000,2,Yellow
0 days 02:09:28.570000,1,AllClear
0 days 02:36:59.872000,2,Yellow
0 days 02:37:36.563000,6,VSCDeployed
0 days 02:39:27.997000,7,VSCEnding
0 days 02:39:41.769000,1,AllClear
