Time,Status,Message
0 days 00:14:57.999000,1,AllClear
0 days 00:48:08.380000,2,Yellow
0 days 01:19:47.419000,1,AllClear
0 days 01:37:26.264000,2,Yellow
0 days 01:46:46.991000,1,AllClear
0 days 02:08:46.566000,2,Yellow
0 days 02:08:48.063000,1,AllClear
0 days 02:21:22.302000,2,Yellow
0 days 02:21:28.424000,1,AllClear
0 days 02:21:45.120000,2,Yellow
0 days 02:23:37.736000,4,SCDeployed
0 days 02:30:05.688000,1,AllClear
0 days 02:51:31.439000,2,Yellow
0 days 02:52:08.287000,6,VSCDeployed
0 days 02:55:00.727000,7,VSCEnding
0 days 02:55:11.300000,1,AllClear
0 days 03:00:45.695000,2,Yellow
0 days 03:01:07.906000,1,AllClear
0 days 03:01:13.091000,2,Yellow
0 days 03:02:02.127000,6,VSCDeployed
0 days 03:03:26.325000,7,VSCEnding
0 days 03:03:38.220000,1,AllClear
0 days 03:05:29.126000,2,Yellow
0 days 03:06:56.303000,6,VSCDeployed
0 days 03:10:55.964000,7,VSCEnding
0 days 03:11:10.227000,1,AllClear
0 days 03:17:00.351000,2,Yellow
0 days 03:17:06.680000,1,AllClear
0 days 03:22:48.614000,2,Yellow
0 days 03:23:29.510000,4,SCDeployed
0 days 03:33:18.832000,1,AllClear
