X,Y,Number,Letter,Angle,Distance,Type,Rotation
6045.8194879946805,-6283.4911307646325,1,,-1.8358823957200912,706.1316552451176,corners,49.0
5449.313781341823,-7325.65579009338,2,,-79.31523200921436,835.7033682413207,corners,49.0
3858.6019661688397,-5655.760175448682,3,,-134.18169840912827,1081.4388843735517,corners,49.0
2504.3939347955493,-5170.41048332579,4,,-136.19889869978,1229.1565895206863,corners,49.0
1936.8767402088579,-3891.8444247296457,5,,-129.33676515925333,1360.0057459357824,corners,49.0
322.5295929138356,-3353.3457139121856,6,,-320.3314489589094,1538.4777418538856,corners,49.0
-609.3335171653484,-757.036992571153,7,,-106.78094986741712,1862.9748135005743,corners,49.0
-3863.6182473492945,-2682.4262950455272,8,,-50.7107545301277,2262.7601619800835,corners,49.0
-5441.4229928375935,-2850.1328632590235,9,,-118.1405827530333,2428.731386343323,corners,49.0
-6159.973406518737,83.27579395014482,10,,-353.25986324819416,2735.012085358967,corners,49.0
-5880.570255368542,1633.2612531359882,11,,-301.6859049873071,2891.66969535333,corners,49.0
-7537.1911548545095,-247.0956165533321,12,,-243.6161902236659,3163.103850461187,corners,49.0
-12191.272030431835,2706.535522228907,13,,-310.92255267836714,3775.430397624189,corners,49.0
-13672.200692317143,2412.5381214497556,14,,-206.72391524475574,3938.2932100054854,corners,49.0
-4940.682659764005,-2004.2672744686195,15,,-254.68390185853985,4975.4385070032995,corners,49.0
-1848.3555035285224,271.93388684760157,16,,-270.34777738016834,5358.873507337878,corners,49.0
-1390.6108201208317,-10.204187628507043,17,,-274.8095207041747,5410.4913168453395,corners,49.0
358.6141693110658,346.781710878844,18,,-294.3204270287074,5606.31908117686,corners,49.0
1931.4074944439071,-1115.3086927305258,1,,-319.42969869883194,4.586527055792469,lights,49.0
5919.432332339953,-5825.839888029011,2,,-332.1878364810133,645.5229308405668,lights,49.0
4915.314921591773,-7168.1334131120675,3,,-133.1433324870626,897.3278889173413,lights,49.0
3783.5481246753843,-5583.38595747525,4,,-307.4723125770051,1096.2114949582906,lights,49.0
1904.4610651211142,-3867.0365458971223,5,,-307.31603059930825,1360.0057459357824,lights,49.0
325.41759003008883,-3356.8438974359133,6,,-140.26909166305236,1538.4777418538856,lights,49.0
389.4975807314204,-1468.6182998373454,7,,-340.2983189634305,1747.9022192200225,lights,49.0
-1498.4359672042615,-678.2244750953698,8,,-265.83621978456324,1957.4048741809816,lights,49.0
-4198.294840756592,-2746.7188670192677,9,,-83.18077366000404,2298.7637694657683,lights,49.0
-5569.695740086716,-2687.8515305927567,10,,-163.44243961939134,2442.3623583201643,lights,49.0
-6161.307248404883,313.56630274307645,11,,-4.8837018820445905,2745.5579027223034,lights,49.0
-7470.238114229566,-208.9947258912739,12,,-58.16078631569309,3136.143096179554,lights,49.0
-10848.195449977853,404.91443181892055,13,,-313.3808645118377,3511.7416378000507,lights,49.0
-12366.392149393707,2800.1021147494994,14,,-281.4315946003216,3800.845138108632,lights,49.0
-12334.758055381508,658.6350238897162,15,,-123.45813589369192,4182.274594601374,lights,49.0
-10203.863544935442,-431.1564084491097,16,,-110.04724094688413,4416.288523524484,lights,49.0
-7381.014308511278,-1384.7493950664843,17,,-108.00697976881867,4725.784698245781,lights,49.0
-3365.6681544002427,-1048.1308145096432,18,,-45.877668135650595,5152.013176773884,lights,49.0
-1888.8605933845818,252.497898302463,19,,-240.0232907124037,5348.936188423023,lights,49.0
-5.694051582036991,471.11161030045514,20,,-279.60012943237547,5557.413822913373,lights,49.0
1858.0515975006465,-1028.8476618482841,1,,-319.6182467040346,4.586527055792469,sectors,49.0
5958.233262160296,-5902.784551826424,2,,-333.194462586646,670.4857403382463,sectors,49.0
4976.416443187538,-7222.1090619554925,3,,-121.75399113005346,883.5304567437585,sectors,49.0
3787.131279817765,-5586.131284185448,4,,-309.58080112930463,1096.2114949582906,sectors,49.0
1922.469195466505,-3880.8182651370366,5,,-307.3926601044807,1360.0057459357824,sectors,49.0
375.44662575992425,-3415.446566093447,6,,-134.7532498148796,1538.4777418538856,sectors,49.0
398.11654542106135,-1499.1690020510255,7,,-344.2796701107021,1733.2183797790265,sectors,49.0
-1484.8730409302357,-677.1248671734961,8,,-262.60514533970553,1957.4048741809816,sectors,49.0
-4175.783945563741,-2743.9738811735638,9,,-82.99581601145815,2298.7637694657683,sectors,49.0
-5542.271137493561,-2749.9652743680185,10,,-153.09273177053038,2442.3623583201643,sectors,49.0
-6166.984428337184,141.81849042178055,11,,-353.16432863517537,2735.012085358967,sectors,49.0
-7466.372242577812,-206.623164392357,12,,-58.16660923314885,3136.143096179554,sectors,49.0
-10743.236973865958,311.4486622110553,13,,-309.83502163691946,3488.652733629054,sectors,49.0
-12328.451271818823,2785.2954767716164,14,,-292.77829893599494,3775.430397624189,sectors,49.0
-12304.49670384564,638.6204284907858,15,,-123.4600708255731,4182.274594601374,sectors,49.0
-10080.20460165056,-475.95825299328635,16,,-109.59644669877889,4437.657280352047,sectors,49.0
-7350.801733595017,-1394.5100964939384,17,,-107.70982819544645,4725.784698245781,sectors,49.0
-3359.1093567094504,-1041.865629732255,18,,-46.3392520815147,5152.013176773884,sectors,49.0
-1892.7779922882623,250.21281240671715,19,,-239.69968723797484,5348.936188423023,sectors,49.0
55.77292722410175,455.19903642837926,20,,-284.56061031852687,5572.496189865159,sectors,49.0
