X,Y,Number,Letter,Angle,Distance,Type,Rotation
5000.369793483242,-1839.8522404781493,1,,13.105267748793366,366.51236031870707,corners,2.0
4462.642212325851,-2689.7583956578064,2,,-204.28272131554675,472.4970253485574,corners,2.0
4309.500670688195,-3575.67295168473,3,,-26.05420127632257,557.9649923831282,corners,2.0
-676.0693652512309,-2600.6091257160274,4,,98.59121328981095,1125.9525770710484,corners,2.0
-1907.3326955178982,-3176.9562439254723,5,,-88.84133007407493,1264.889955927545,corners,2.0
-3137.5593907383045,-2430.703374495633,6,,76.7596891131636,1396.1417742315862,corners,2.0
-4269.134881984064,-3061.383489615324,7,,-206.14602841635806,1542.7199362532472,corners,2.0
-4102.85861495594,-3929.779531894037,8,,-103.47547732876453,1643.264469758762,corners,2.0
1099.937315405985,-4144.409317682837,9,,-103.85433294911317,2159.3520099574607,corners,2.0
3806.3527998616332,-4793.668301112775,10,,-89.35439995404974,2451.7861921670783,corners,2.0
9665.021110379748,-2550.919180644675,11,,-14.93577695515648,3087.679253640377,corners,2.0
9121.664811212708,-1632.476629886879,12,,-190.68247210100918,3201.9418760556764,corners,2.0
10178.349780215427,-1114.2869760280732,13,,-65.47564941450844,3327.840370782556,corners,2.0
10550.674337648416,-506.2839966977317,14,,12.80443445178615,3408.7985995837053,corners,2.0
10423.83331142524,-365.12324260597416,15,,-150.4254968779324,3430.458723048759,corners,2.0
10488.330955116391,520.3380238835039,16,,26.564442806433156,3523.3162388903115,corners,2.0
-2590.1974394339068,924.3686299701099,17,,-197.70238483941122,4826.787537828988,corners,2.0
-1584.2044787404711,167.169604298188,18,,-93.53368255106844,4972.878258848486,corners,2.0
428.83100056233343,623.5196314303143,19,,-94.33128150175669,5187.100380642125,corners,2.0
4997.957173703629,-1831.876604165387,1,,23.24805610824682,366.51236031870707,lights,2.0
4511.520511539388,-2597.2187311371863,2,,146.1485002042901,465.49230537715164,lights,2.0
4327.19899532014,-3537.7567482945706,3,,-19.19396110403489,557.9649923831282,lights,2.0
-647.0913399390502,-2596.1671217309804,4,,90.07404441999982,1125.9525770710484,lights,2.0
-1873.8392260589271,-3176.0745164122286,5,,-87.25959480954108,1264.889955927545,lights,2.0
-3081.2194955373425,-2446.9368035744365,6,,73.39379190852074,1396.1417742315862,lights,2.0
-4229.050767166637,-2983.101286473612,7,,-209.5138053434215,1533.6657031893658,lights,2.0
-4086.55923136568,-3933.647160981905,8,,-103.04993499227005,1643.264469758762,lights,2.0
1124.3363091631634,-4150.421866306782,9,,-104.17659812148966,2175.9287276741306,lights,2.0
3898.4841158438603,-4792.627182158717,10,,-89.30325334034013,2451.7861921670783,lights,2.0
9677.97299332446,-2485.3110302253635,11,,-2.209133327697984,3093.3366276461566,lights,2.0
9140.866008230416,-1542.4674449145018,12,,-196.08943685523633,3207.8558832089875,lights,2.0
10182.07385268481,-1112.3778018181606,13,,-62.739549358182856,3327.840370782556,lights,2.0
10547.20714841317,-498.6562712726445,14,,25.71166460966417,3408.7985995837053,lights,2.0
10407.489981897303,-335.87639314693115,15,,-156.4368431063108,3437.4481528071674,lights,2.0
10467.019726911996,556.3294712497441,16,,38.71174201538648,3530.427684194664,lights,2.0
-2590.1974394339068,924.3686299701099,17,,-207.11890135197746,4826.787537828988,lights,2.0
-1592.5547397242626,167.8120645619756,18,,-94.34042821261917,4972.878258848486,lights,2.0
478.96239027630145,619.9570060999004,19,,-94.12286918909055,5187.100380642125,lights,2.0
2803.3987981021296,-478.80618962986046,1,,58.00010505595321,103.1220693871099,sectors,2.0
4617.257508946059,-1506.088225048306,2,,61.24635373582045,314.89594631608907,sectors,2.0
4456.171055373532,-2709.653010828286,3,,-17.91093587722867,472.4970253485574,sectors,2.0
3514.326544051583,-4182.512344740386,4,,-71.65652312663332,678.0374915461304,sectors,2.0
1648.8043395873856,-3853.7150502365357,5,,-122.87850901388938,871.0083836133399,sectors,2.0
-128.30653991748932,-2738.775733689044,6,,-117.70956008966621,1068.3731459777093,sectors,2.0
-3170.8549185949987,-2427.392236675971,7,,85.22209702069824,1417.018041598095,sectors,2.0
-4149.705896985557,-3912.3433710527734,8,,-114.59151927887854,1643.264469758762,sectors,2.0
-2553.342889208936,-4015.7226035617423,9,,72.08178591076071,1794.2288715168024,sectors,2.0
526.4584826336404,-4088.233649307478,10,,89.41359402381273,2103.440836570001,sectors,2.0
4350.028328369526,-4768.599976217229,11,,-84.7942717570709,2510.267678110821,sectors,2.0
8872.11257422371,-3191.8127337970427,12,,-62.04050017161049,2966.5914521752256,sectors,2.0
9505.668689100446,-2220.2873768411337,13,,49.32020015920982,3124.3489535754106,sectors,2.0
9794.509221480319,-1197.4228367127662,14,,-88.85517025342142,3295.6241582229472,sectors,2.0
10550.906697066988,-585.5380706144956,15,,-3.309013042477517,3397.869802337748,sectors,2.0
10509.999513652534,384.96492462559263,16,,0.3545388708608712,3512.1572978280633,sectors,2.0
2079.953309642433,905.0761640205983,17,,88.6675591422101,4363.737978163005,sectors,2.0
-2236.023053672653,1077.7389850888403,18,,94.31787856754198,4785.923884689338,sectors,2.0
-1894.2499472827622,246.1673534720312,19,,-110.11498057466295,4933.601424676941,sectors,2.0
-22.539872289684354,602.3514891089849,20,,-82.13234055613526,5136.262664285467,sectors,2.0
