Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:06:38.603000,2,Yellow
0 days 00:06:52.259000,1,AllClear
0 days 00:19:51.886000,2,Yellow
0 days 00:22:06.399000,1,AllClear
0 days 01:02:41.403000,2,Yellow
0 days 01:02:43.872000,1,AllClear
0 days 01:16:53.044000,2,Yellow
0 days 01:17:50.246000,1,AllClear
0 days 01:20:09.353000,2,Yellow
0 days 01:20:19.681000,1,AllClear
0 days 02:13:43.686000,2,Yellow
0 days 02:13:50.999000,1,AllClear
0 days 02:13:52.358000,2,Yellow
0 days 02:14:27.670000,1,AllClear
0 days 02:14:34.107000,2,Yellow
0 days 02:15:46.465000,1,AllClear
0 days 02:15:49.637000,2,Yellow
0 days 02:15:54.371000,1,AllClear
0 days 02:19:08.462000,2,Yellow
0 days 02:19:24.555000,1,AllClear
0 days 02:20:09.367000,2,Yellow
0 days 02:20:22.585000,1,AllClear
0 days 02:22:10.974000,2,Yellow
0 days 02:22:48.864000,1,AllClear
0 days 02:24:31.143000,2,Yellow
0 days 02:24:43.940000,1,AllClear
0 days 02:37:00.864000,2,Yellow
0 days 02:37:31.864000,1,AllClear
