Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:20:20.945000,2,Yellow
0 days 00:21:55.974000,1,AllClear
0 days 00:24:40.940000,2,Yellow
0 days 00:24:49.143000,1,AllClear
0 days 01:10:47.938000,2,Yellow
0 days 01:11:28.125000,6,VSCDeployed
0 days 01:12:03.077000,7,VSCEnding
0 days 01:12:14.311000,1,AllClear
0 days 01:17:38.759000,2,Yellow
0 days 01:17:43.165000,1,AllClear
0 days 01:17:44.509000,4,SCDeployed
0 days 01:26:16.875000,1,AllClear
0 days 01:42:40.014000,2,Yellow
0 days 01:42:43.295000,1,AllClear
0 days 01:50:57.036000,2,Yellow
0 days 01:51:55.597000,1,AllClear
