Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:20:00.958000,2,Yellow
0 days 00:20:03.458000,1,AllClear
0 days 00:20:21.176000,2,Yellow
0 days 00:20:32.692000,1,AllClear
0 days 01:24:24.561000,2,Yellow
0 days 01:25:04.107000,4,SCDeployed
0 days 01:35:18.487000,1,AllClear
0 days 02:28:22.821000,2,Yellow
0 days 02:28:30.133000,1,AllClear
0 days 02:29:10.289000,2,Yellow
0 days 02:29:28.507000,6,VSCDeployed
0 days 02:30:15.725000,5,Red
0 days 03:09:38.621000,1,AllClear
0 days 03:13:13.226000,4,SCDeployed
0 days 03:17:43.893000,1,AllClear
