X,Y,Number,Letter,Angle,Distance,Type,Rotation
-569.5805053710938,8153.724609375,1,,153.78733177568182,884.6180848942712,corners,95.0
-146.75457763671875,8474.9814453125,2,,-13.83584308210785,942.3775940551845,corners,95.0
611.6001586914062,13310.6201171875,3,,133.0285175221899,1465.955113248784,corners,95.0
6808.6552734375,14630.75390625,4,,-54.042256120811224,2100.928869010478,corners,95.0
7130.8720703125,15023.123046875,5,,121.75285797812727,2155.209469719184,corners,95.0
10554.8564453125,15713.8046875,6,,54.6416550196045,2512.4098957114516,corners,95.0
10972.642578125,12648.357421875,7,,-29.053283096610013,2837.3534076807405,corners,95.0
2562.920166015625,6171.0234375,8,,163.07286056163184,3899.785164624182,corners,95.0
2478.04150390625,5270.56201171875,9,,-21.066696185852937,3991.321504001578,corners,95.0
1890.1082763671875,4451.185546875,10,,152.54444074214535,4082.168150179724,corners,95.0
-55.33073425292969,-5800.1669921875,11,,-95.85285360901966,5186.820311139608,corners,95.0
-1393.0,-874.0,1,,-166.00688809948863,5731.854283474316,lights,95.0
-993.6149291992188,3715.629638671875,2,,174.94455329639436,458.6371678925027,lights,95.0
-728.7491455078125,6807.2587890625,3,,174.96541012451937,749.5647946909953,lights,95.0
-334.0108337402344,9423.1279296875,4,,11.929974815682696,1036.753618421062,lights,95.0
-196.71041870117188,12049.8173828125,5,,160.1880178779477,1317.9038531886358,lights,95.0
1287.578125,13794.2998046875,6,,118.70680760011695,1546.4094879774993,lights,95.0
5084.85302734375,14453.71484375,7,,-86.99101242151787,1925.495453591685,lights,95.0
8839.2802734375,15531.771484375,8,,112.08342677162943,2339.4799397545175,lights,95.0
11046.1875,13423.9814453125,9,,5.194877650391451,2756.5907262993246,lights,95.0
9149.5830078125,11553.4755859375,10,,119.60422552358996,3048.6105875181297,lights,95.0
6550.8876953125,9795.4091796875,11,,130.81376363619174,3358.9742573661288,lights,95.0
5687.48974609375,9045.0087890625,12,,-49.516843786671856,3487.799554997084,lights,95.0
3709.322998046875,7325.37548828125,13,,130.80900619268485,3732.1661965103785,lights,95.0
1542.59765625,1735.5506591796875,14,,174.52976246861948,4373.914376721712,lights,95.0
1035.3646240234375,-3766.80859375,15,,-5.801710393896538,4925.953992383009,lights,95.0
-592.1219482421875,-5604.251953125,16,,-122.50422399284443,5249.764784478485,lights,95.0
-1445.5782470703125,-4079.277587890625,17,,-168.76202063178462,5431.603327706038,lights,95.0
-1414.551025390625,-1183.938720703125,1,,176.2678819489212,5710.960898295093,sectors,95.0
-1004.7970581054688,3590.034912109375,2,,175.38932691572086,442.64656234446943,sectors,95.0
-746.1488037109375,6605.345703125,3,,175.34253963439218,727.1851950474227,sectors,95.0
-361.3633728027344,9550.8349609375,4,,11.639332899459784,1053.0726665920195,sectors,95.0
-236.68624877929688,11925.509765625,5,,163.23107373089525,1291.7717410945777,sectors,95.0
1260.103515625,13778.841796875,6,,119.93237834028473,1546.4094879774993,sectors,95.0
5188.2900390625,14459.2119140625,7,,-87.92224012579592,1942.692211556328,sectors,95.0
8780.6982421875,15508.4521484375,8,,111.6274990597858,2317.1970286578435,sectors,95.0
11051.1044921875,13374.6904296875,9,,4.955850299017581,2756.5907262993246,sectors,95.0
9169.1357421875,11564.6484375,10,,119.80539605859003,3048.6105875181297,sectors,95.0
6642.05078125,9875.8759765625,11,,131.22353433038978,3341.956255741189,sectors,95.0
5279.1201171875,8691.0234375,12,,-48.813985495323166,3526.0258897317135,sectors,95.0
3556.128173828125,7192.6923828125,13,,131.04297642329755,3732.1661965103785,sectors,95.0
1536.1629638671875,1659.2939453125,14,,174.4146344547498,4393.772366774772,sectors,95.0
1021.2236328125,-3919.27880859375,15,,-6.178387087603308,4925.953992383009,sectors,95.0
-517.399169921875,-5645.943359375,16,,-119.39920533684388,5249.764784478485,sectors,95.0
-1405.35888671875,-4282.466796875,17,,-166.8513727602682,5400.110794480889,sectors,95.0
