X,Y,Number,Letter,Angle,Distance,Type,Rotation
431.13265185736964,3476.576339145755,1,,40.09899112559812,397.6147685621057,corners,335.0
-195.2140342729199,3722.2068354357343,2,,-116.33812114496007,471.0828965321374,corners,335.0
-779.7542602987305,4085.8999696922547,3,,108.31812608238168,536.2353608490445,corners,335.0
-1000.248495084903,2762.5658073638174,4,,-159.82584190332562,695.0050762890534,corners,335.0
-704.2751363886564,290.4987435530211,5,,-56.17507239255018,971.8861510989376,corners,335.0
-4914.428676444357,446.07877429337077,6,,-99.40534019082725,1382.8780330738891,corners,335.0
-8210.484031585085,2141.91893694609,7,,84.28802927725171,1762.1787068826904,corners,335.0
-9608.455015003696,545.2344521818222,8,,-137.55488367522997,1993.3930539204034,corners,335.0
-11035.325462710984,1643.4830602634265,9,,-77.17835340212868,2183.0035558315703,corners,335.0
-13197.999977462843,-1883.9884365433581,10,,-182.9285608765443,2607.11007017037,corners,335.0
-12225.258327405409,-3008.9788169688827,11,,21.97298112607431,2768.0586600334964,corners,335.0
-11972.752928264084,-3759.2471044775466,12,,-133.1642603505898,2853.21374383164,corners,335.0
-10795.164153894957,-4903.60650770113,13,,-96.04299005964127,3018.661279947789,corners,335.0
-9087.216472295006,75.60817055162295,14,,273.56261626114366,3578.4060813638275,corners,335.0
-7370.032739596296,-1290.3335741899066,15,,247.80392755981828,3791.9032056392844,corners,335.0
-2544.27408282517,-1747.779915053758,16,,41.59452534061187,4292.734304410046,corners,335.0
-2205.492524818259,-2401.4104525295033,17,,48.421856283785445,4370.233090417725,corners,335.0
386.8427724646517,-2657.5894968940347,18,,99.54974113843991,4634.4077874030345,corners,335.0
1136.5661843074995,-1839.636021516253,19,,-14.64865962944613,4748.378340466696,corners,335.0
1060.1647402536846,-343.53132508195813,1,,9.149998415264882,18.5050149525426,lights,335.0
666.41800281211,2527.0522505516765,2,,6.475625389089913,309.466141734348,lights,335.0
-1108.3667986032488,3674.839718718694,3,,-189.84244944317817,599.8074316236003,lights,335.0
-431.38063913069436,923.2242379724939,4,,2.5220685743399756,881.3525446537845,lights,335.0
-2947.5527296952487,272.0040147701309,5,,-94.32369993359607,1195.7970747433467,lights,335.0
-7272.110582986823,1657.5922873797354,6,,57.13387256760495,1664.9259348375435,lights,335.0
-9181.404233317351,957.7249150873465,7,,-23.18729760069427,1927.5718743471664,lights,335.0
-10406.38946711432,1407.6132024406315,8,,45.60214140420332,2115.897641168949,lights,335.0
-12731.140383214188,-1039.944706112171,9,,147.20409397997528,2509.208586677755,lights,335.0
-12696.452312031437,-2647.3441337892027,10,,-111.3693827703263,2707.654338333122,lights,335.0
-11385.368206437786,-4258.256578159635,11,,-132.87686534891057,2931.1039544834503,lights,335.0
-10360.594666103334,-3241.4319119090324,12,,-9.088076711710201,3207.0000327056596,lights,335.0
-10008.707931041445,-1480.7363880234773,13,,-194.87475532101058,3373.011120632419,lights,335.0
-7741.356280624563,-1069.506744365598,14,,53.70034135956587,3761.683239760121,lights,335.0
-3522.2718863745604,-1610.0480177654954,15,,-91.48938589294686,4196.652455766469,lights,335.0
-98.13917935409154,-2661.597427529588,16,,-93.60288172373922,4587.049347563485,lights,335.0
1116.26040659896,-684.5624335161597,1,,9.4081812525379,4872.932264861176,sectors,335.0
639.916993804658,2757.2058017669106,2,,6.737761948147018,326.2862969796876,sectors,335.0
-1050.0821200960627,3874.9932899451387,3,,-204.3841218246034,570.1425220901449,sectors,335.0
-454.78260478050106,1195.4779531823385,4,,-172.1113890807365,864.3425077387529,sectors,335.0
-3015.706599799051,277.34950292509757,5,,-94.34875101609867,1195.7970747433467,sectors,335.0
-7275.284466306195,1659.6770519694574,6,,56.513442480786466,1664.9259348375435,sectors,335.0
-9200.853150674437,912.3438999220864,7,,-22.92198596371152,1927.5718743471664,sectors,335.0
-10384.654630036719,1386.3836290966628,8,,-134.6143088221271,2115.897641168949,sectors,335.0
-12753.835673691112,-1075.0198901301724,9,,-32.94889077697729,2509.208586677755,sectors,335.0
-12639.926906022956,-2669.643665871607,10,,-111.3803542369537,2707.654338333122,sectors,335.0
-11593.209502333204,-4074.8750852447392,11,,-129.56145639388876,2899.7218144405956,sectors,335.0
-10395.879965919441,-3466.55789450719,12,,-9.872159784425552,3175.812771093401,sectors,335.0
-9999.018529940708,-1444.0166130925063,13,,-194.97821688414314,3393.6244536690783,sectors,335.0
-7641.557197151713,-1138.7898104583182,14,,-123.48052594835029,3779.9959216741613,sectors,335.0
-3355.213074502203,-1614.2191388014176,15,,-91.60115255591343,4210.7992701188405,sectors,335.0
-219.4127691793101,-2653.6245489021694,16,,86.28839602702796,4568.725960792874,sectors,335.0
